train_topk,10RunningTime,100RunningTime,200RunningTime
10,301.652,379.537,812866.777
50,295.995,381.352,435.237
100,291.537,380.219,472.611
150,292.861,387.128,448.127
200,293.931,387.957,446.508
250,300.462,393.067,476.340
300,299.930,399.751,460.160
