nohup: ignoring input
[2022-12-02 10:37:26.163] [info] Simpfer dataset_name yelp, dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2022-12-02 10:37:26.163] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2022-12-02 10:37:35.329] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 150
[2022-12-02 10:37:35.329] [info] input parameter: simpfer_k_max 613, stop_time 70000s
[2022-12-02 10:52:39.554] [info] finish preprocess and save the index
[2022-12-02 12:52:25.420] [info] queryID 3, result_size 4, rtk_topk 128, accu_ip_cost 3337218, accu_query_time 30.87s,
[2022-12-02 12:52:31.133] [info] queryID 3, result_size 9, rtk_topk 256, accu_ip_cost 11192303, accu_query_time 36.58s,
[2022-12-02 12:53:06.900] [info] queryID 3, result_size 22, rtk_topk 512, accu_ip_cost 93186675, accu_query_time 72.35s,
[2022-12-02 13:27:36.885] [info] queryID 3, result_size 106, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2142.33s,
[2022-12-02 14:10:23.919] [info] queryID 3, result_size 462, rtk_topk 2048, accu_ip_cost 4814615943, accu_query_time 4709.37s,
[2022-12-02 14:10:23.919] [info] queryID 3, result_size 462, rtk_topk 2048, ip_cost 4814615943, query_time 4709.37s, total_ip_cost 12379127641, total_retrieval_time 11864.36s
[2022-12-02 14:10:31.706] [info] queryID 4, result_size 1, rtk_topk 1, accu_ip_cost 2255746, accu_query_time 7.79s,
[2022-12-02 14:10:34.149] [info] queryID 4, result_size 1, rtk_topk 2, accu_ip_cost 2273227, accu_query_time 10.23s,
[2022-12-02 14:10:36.568] [info] queryID 4, result_size 1, rtk_topk 4, accu_ip_cost 2291410, accu_query_time 12.65s,
[2022-12-02 14:10:39.118] [info] queryID 4, result_size 2, rtk_topk 8, accu_ip_cost 2536001, accu_query_time 15.20s,
[2022-12-02 14:10:42.225] [info] queryID 4, result_size 8, rtk_topk 16, accu_ip_cost 3427438, accu_query_time 18.31s,
[2022-12-02 14:10:46.536] [info] queryID 4, result_size 20, rtk_topk 32, accu_ip_cost 5557781, accu_query_time 22.62s,
[2022-12-02 14:10:54.752] [info] queryID 4, result_size 57, rtk_topk 64, accu_ip_cost 12945344, accu_query_time 30.83s,
[2022-12-02 14:11:16.265] [info] queryID 4, result_size 163, rtk_topk 128, accu_ip_cost 39603102, accu_query_time 52.35s,
[2022-12-02 14:12:27.330] [info] queryID 4, result_size 478, rtk_topk 256, accu_ip_cost 147490409, accu_query_time 123.41s,
[2022-12-02 14:12:27.330] [info] queryID 4, result_size 478, rtk_topk 256, ip_cost 147490409, query_time 123.41s, total_ip_cost 12526618050, total_retrieval_time 11987.78s
[2022-12-02 14:12:29.851] [info] queryID 5, result_size 0, rtk_topk 1, accu_ip_cost 2100501, accu_query_time 2.52s,
[2022-12-02 14:12:32.217] [info] queryID 5, result_size 1, rtk_topk 2, accu_ip_cost 2264138, accu_query_time 4.89s,
[2022-12-02 14:12:34.678] [info] queryID 5, result_size 2, rtk_topk 4, accu_ip_cost 2392012, accu_query_time 7.35s,
[2022-12-02 14:12:37.304] [info] queryID 5, result_size 4, rtk_topk 8, accu_ip_cost 2654851, accu_query_time 9.97s,
[2022-12-02 14:12:39.932] [info] queryID 5, result_size 4, rtk_topk 16, accu_ip_cost 2686618, accu_query_time 12.60s,
[2022-12-02 14:12:42.992] [info] queryID 5, result_size 8, rtk_topk 32, accu_ip_cost 3393747, accu_query_time 15.66s,
[2022-12-02 14:12:46.729] [info] queryID 5, result_size 13, rtk_topk 64, accu_ip_cost 4660157, accu_query_time 19.40s,
[2022-12-02 14:12:53.662] [info] queryID 5, result_size 37, rtk_topk 128, accu_ip_cost 11153392, accu_query_time 26.33s,
[2022-12-02 14:13:14.159] [info] queryID 5, result_size 121, rtk_topk 256, accu_ip_cost 41558689, accu_query_time 46.83s,
[2022-12-02 14:14:53.571] [info] queryID 5, result_size 328, rtk_topk 512, accu_ip_cost 237343424, accu_query_time 146.24s,
[2022-12-02 14:14:53.571] [info] queryID 5, result_size 328, rtk_topk 512, ip_cost 237343424, query_time 146.24s, total_ip_cost 12763961474, total_retrieval_time 12134.02s
[2022-12-02 14:14:56.387] [info] queryID 6, result_size 0, rtk_topk 1, accu_ip_cost 2131539, accu_query_time 2.82s,
[2022-12-02 14:14:58.656] [info] queryID 6, result_size 0, rtk_topk 2, accu_ip_cost 2146365, accu_query_time 5.08s,
[2022-12-02 14:15:00.929] [info] queryID 6, result_size 0, rtk_topk 4, accu_ip_cost 2156263, accu_query_time 7.36s,
[2022-12-02 14:15:03.279] [info] queryID 6, result_size 1, rtk_topk 8, accu_ip_cost 2295406, accu_query_time 9.71s,
[2022-12-02 14:15:05.957] [info] queryID 6, result_size 4, rtk_topk 16, accu_ip_cost 2782612, accu_query_time 12.39s,
[2022-12-02 14:15:09.530] [info] queryID 6, result_size 12, rtk_topk 32, accu_ip_cost 4488229, accu_query_time 15.96s,
[2022-12-02 14:15:16.693] [info] queryID 6, result_size 38, rtk_topk 64, accu_ip_cost 12101028, accu_query_time 23.12s,
[2022-12-02 14:15:41.046] [info] queryID 6, result_size 156, rtk_topk 128, accu_ip_cost 49741276, accu_query_time 47.47s,
[2022-12-02 14:17:19.371] [info] queryID 6, result_size 588, rtk_topk 256, accu_ip_cost 214641057, accu_query_time 145.80s,
[2022-12-02 14:17:19.371] [info] queryID 6, result_size 588, rtk_topk 256, ip_cost 214641057, query_time 145.80s, total_ip_cost 12978602531, total_retrieval_time 12279.82s
[2022-12-02 14:17:21.820] [info] queryID 7, result_size 0, rtk_topk 1, accu_ip_cost 2021121, accu_query_time 2.45s,
[2022-12-02 14:17:24.100] [info] queryID 7, result_size 0, rtk_topk 2, accu_ip_cost 2087775, accu_query_time 4.73s,
[2022-12-02 14:17:26.406] [info] queryID 7, result_size 0, rtk_topk 4, accu_ip_cost 2120661, accu_query_time 7.03s,
[2022-12-02 14:17:28.790] [info] queryID 7, result_size 1, rtk_topk 8, accu_ip_cost 2249401, accu_query_time 9.42s,
[2022-12-02 14:17:31.161] [info] queryID 7, result_size 1, rtk_topk 16, accu_ip_cost 2264649, accu_query_time 11.79s,
[2022-12-02 14:17:33.590] [info] queryID 7, result_size 1, rtk_topk 32, accu_ip_cost 2345707, accu_query_time 14.22s,
[2022-12-02 14:17:36.308] [info] queryID 7, result_size 4, rtk_topk 64, accu_ip_cost 2751621, accu_query_time 16.94s,
[2022-12-02 14:17:39.303] [info] queryID 7, result_size 5, rtk_topk 128, accu_ip_cost 3334188, accu_query_time 19.93s,
[2022-12-02 14:17:44.187] [info] queryID 7, result_size 13, rtk_topk 256, accu_ip_cost 8187142, accu_query_time 24.82s,
[2022-12-02 14:18:12.507] [info] queryID 7, result_size 25, rtk_topk 512, accu_ip_cost 72112286, accu_query_time 53.14s,
[2022-12-02 14:52:30.123] [info] queryID 7, result_size 54, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2110.75s,
[2022-12-02 15:35:07.101] [info] queryID 7, result_size 196, rtk_topk 2048, accu_ip_cost 4814615943, accu_query_time 4667.73s,
[2022-12-02 16:29:52.245] [info] queryID 7, result_size 604, rtk_topk 4096, accu_ip_cost 9298623879, accu_query_time 7952.87s,
[2022-12-02 16:29:52.245] [info] queryID 7, result_size 604, rtk_topk 4096, ip_cost 9298623879, query_time 7952.87s, total_ip_cost 22277226410, total_retrieval_time 20232.69s
[2022-12-02 16:29:59.886] [info] queryID 8, result_size 0, rtk_topk 1, accu_ip_cost 2131203, accu_query_time 7.64s,
[2022-12-02 16:30:02.387] [info] queryID 8, result_size 1, rtk_topk 2, accu_ip_cost 2280566, accu_query_time 10.14s,
[2022-12-02 16:30:04.782] [info] queryID 8, result_size 1, rtk_topk 4, accu_ip_cost 2288882, accu_query_time 12.54s,
[2022-12-02 16:30:07.180] [info] queryID 8, result_size 1, rtk_topk 8, accu_ip_cost 2296736, accu_query_time 14.93s,
[2022-12-02 16:30:09.587] [info] queryID 8, result_size 1, rtk_topk 16, accu_ip_cost 2308328, accu_query_time 17.34s,
[2022-12-02 16:30:12.039] [info] queryID 8, result_size 1, rtk_topk 32, accu_ip_cost 2339471, accu_query_time 19.79s,
[2022-12-02 16:30:14.543] [info] queryID 8, result_size 1, rtk_topk 64, accu_ip_cost 2510676, accu_query_time 22.30s,
[2022-12-02 16:30:18.247] [info] queryID 8, result_size 11, rtk_topk 128, accu_ip_cost 4891852, accu_query_time 26.00s,
[2022-12-02 16:30:26.064] [info] queryID 8, result_size 27, rtk_topk 256, accu_ip_cost 14898494, accu_query_time 33.82s,
[2022-12-02 16:31:13.037] [info] queryID 8, result_size 89, rtk_topk 512, accu_ip_cost 116508060, accu_query_time 80.79s,
[2022-12-02 17:06:49.515] [info] queryID 8, result_size 281, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2217.27s,
[2022-12-02 17:06:49.515] [info] queryID 8, result_size 281, rtk_topk 1024, ip_cost 2572611975, query_time 2217.27s, total_ip_cost 24849838385, total_retrieval_time 22449.96s
[2022-12-02 17:06:56.955] [info] queryID 9, result_size 1, rtk_topk 1, accu_ip_cost 2175540, accu_query_time 7.44s,
[2022-12-02 17:06:59.490] [info] queryID 9, result_size 2, rtk_topk 2, accu_ip_cost 2373989, accu_query_time 9.98s,
[2022-12-02 17:07:02.124] [info] queryID 9, result_size 4, rtk_topk 4, accu_ip_cost 2644551, accu_query_time 12.61s,
[2022-12-02 17:07:04.725] [info] queryID 9, result_size 4, rtk_topk 8, accu_ip_cost 2664864, accu_query_time 15.21s,
[2022-12-02 17:07:07.374] [info] queryID 9, result_size 4, rtk_topk 16, accu_ip_cost 2715459, accu_query_time 17.86s,
[2022-12-02 17:07:10.140] [info] queryID 9, result_size 5, rtk_topk 32, accu_ip_cost 2933115, accu_query_time 20.62s,
[2022-12-02 17:07:13.383] [info] queryID 9, result_size 8, rtk_topk 64, accu_ip_cost 3899996, accu_query_time 23.87s,
[2022-12-02 17:07:18.318] [info] queryID 9, result_size 15, rtk_topk 128, accu_ip_cost 8312097, accu_query_time 28.80s,
[2022-12-02 17:07:33.335] [info] queryID 9, result_size 48, rtk_topk 256, accu_ip_cost 34499523, accu_query_time 43.82s,
[2022-12-02 17:08:44.601] [info] queryID 9, result_size 119, rtk_topk 512, accu_ip_cost 179788937, accu_query_time 115.09s,
[2022-12-02 17:43:39.797] [info] queryID 9, result_size 388, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2210.28s,
[2022-12-02 17:43:39.797] [info] queryID 9, result_size 388, rtk_topk 1024, ip_cost 2572611975, query_time 2210.28s, total_ip_cost 27422450360, total_retrieval_time 24660.24s
[2022-12-02 17:43:47.569] [info] queryID 10, result_size 1, rtk_topk 1, accu_ip_cost 2232799, accu_query_time 7.77s,
[2022-12-02 17:43:50.086] [info] queryID 10, result_size 2, rtk_topk 2, accu_ip_cost 2403481, accu_query_time 10.29s,
[2022-12-02 17:43:52.586] [info] queryID 10, result_size 2, rtk_topk 4, accu_ip_cost 2418685, accu_query_time 12.79s,
[2022-12-02 17:43:55.140] [info] queryID 10, result_size 3, rtk_topk 8, accu_ip_cost 2532550, accu_query_time 15.34s,
[2022-12-02 17:43:57.808] [info] queryID 10, result_size 4, rtk_topk 16, accu_ip_cost 2704160, accu_query_time 18.01s,
[2022-12-02 17:44:00.785] [info] queryID 10, result_size 7, rtk_topk 32, accu_ip_cost 3210291, accu_query_time 20.99s,
[2022-12-02 17:44:04.589] [info] queryID 10, result_size 10, rtk_topk 64, accu_ip_cost 4131679, accu_query_time 24.79s,
[2022-12-02 17:44:09.931] [info] queryID 10, result_size 20, rtk_topk 128, accu_ip_cost 7576299, accu_query_time 30.13s,
[2022-12-02 17:44:23.119] [info] queryID 10, result_size 61, rtk_topk 256, accu_ip_cost 26660824, accu_query_time 43.32s,
[2022-12-02 17:45:30.393] [info] queryID 10, result_size 193, rtk_topk 512, accu_ip_cost 161138228, accu_query_time 110.60s,
[2022-12-02 18:21:25.916] [info] queryID 10, result_size 535, rtk_topk 1024, accu_ip_cost 2572611975, accu_query_time 2266.12s,
