n_sample_query,build_score_table,query_distribution_index,find_sample_rank,compute_linear_regression,total_index_build_time,query_time
1000.00 ,40181.97 ,12744.50 ,108.67 ,439.02 ,14.85 ,1415.83 
2000.00 ,40181.97 ,12744.50 ,1271.81 ,439.02 ,15.18 ,388.67 
3000.00 ,40181.97 ,12744.50 ,4112.62 ,439.02 ,15.97 ,372.12 
4000.00 ,40181.97 ,12744.50 ,9241.36 ,439.02 ,17.39 ,374.86 
5000.00 ,40181.97 ,12744.50 ,17279.32 ,439.02 ,19.62 ,379.07 
