topk,RankSampleTime,QueryRankSampleTime,RankSampleIOCost,QueryRankSampleIOCost
10,53.39987,0.28883,12818278.4,18677.76
20,53.46356,0.35117,12828052.48,27064.32
30,53.54678,0.39217,12835333.12,31749.12
40,53.56591,0.52775,12841600,46464
50,53.6588,0.59009,12857410.56,61030.4
100,54.69896,0.91642,13034209.28,98176
200,55.77855,1.41197,13249075.2,185487.36
300,56.25601,2.17175,13332162.56,325498.88
400,56.43527,2.87951,13361740.8,544721.92
500,57.18019,3.55287,13506887.68,707512.32
