topk,RankSampleRunningTime,QueryRankSampleRunningTime,RankSampleIOCost,QueryRankSampleIOCost
10,6.35068,0.54335,906045.44,2048
20,6.36929,0.55766,908462.08,2508.8
50,6.48852,0.58675,927447.04,6630.4
100,6.6067,0.6282,945003.52,15447.04
200,6.76238,0.69936,968366.08,30177.28
