topk,RankSampleTime,QueryRankSampleTime,RankSampleIOCost,QueryRankSampleIOCost
10,30.85609,0.71273,5939051.52,4608
20,30.82466,0.73067,5944110.08,10362.88
30,30.8762,1.8296,5950402.56,117350.4
40,31.11746,1.83296,5953152,120632.32
50,31.10355,1.85816,5956259.84,123458.56
100,31.1202,2.11078,5970990.08,164290.56
200,32.30301,2.1719,6149539.84,164761.6
300,32.62111,2.3059,6176701.44,181918.72
400,32.72033,2.4784,6189716.48,203289.6
500,32.97981,2.54062,6207078.4,212725.76
