topk,RankSampleRunningTime,QueryRankSampleRunningTime,RankSampleIOCost,QueryRankSampleIOCost
10,32.75237,0.52198,5467668.48,4418.56
20,32.86994,0.52814,5479142.4,5196.8
50,33.10832,0.55749,5505602.56,7587.84
100,33.32304,0.6062,5537566.72,10219.52
200,33.54303,0.6894,5570677.76,17812.48
