queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
        95,        16,      1696,         0,      0.56,      0.53,      0.02,      0.00
        96,        18,      1890,         0,      0.60,      0.57,      0.03,      0.00
        97,        14,      1470,         0,      0.57,      0.54,      0.02,      0.00
        98,        13,      1378,         0,      0.60,      0.57,      0.02,      0.00
        99,      2248,    236040,         0,      3.83,      0.62,      3.21,      0.00
       100,        10,      1060,         0,      0.61,      0.58,      0.01,      0.00
       101,        35,      3702,         0,      0.62,      0.56,      0.05,      0.00
       102,        18,      1907,         0,      0.60,      0.56,      0.03,      0.00
       103,       119,     12495,         0,      0.77,      0.60,      0.17,      0.00
       104,      3921,    411705,         0,      6.21,      0.62,      5.58,      0.00
       105,      1155,    121275,         0,      2.25,      0.60,      1.64,      0.00
       106,        16,      1696,         0,      0.60,      0.57,      0.02,      0.00
       107,        10,       424,    957510,      0.65,      0.52,      0.01,      0.11
       108,        10,      1060,         0,      0.61,      0.58,      0.02,      0.00
       109,        55,      5775,         0,      0.68,      0.59,      0.08,      0.00
       110,        10,      1058,         0,      0.56,      0.54,      0.01,      0.00
       111,        23,      2433,         0,      0.59,      0.55,      0.03,      0.00
       112,        18,      1901,         0,      0.59,      0.55,      0.03,      0.00
       113,        15,      1575,         0,      0.61,      0.58,      0.02,      0.00
       114,        13,      1375,         0,      0.61,      0.58,      0.02,      0.00
       115,        13,      1365,         0,      0.59,      0.56,      0.02,      0.00
       116,        10,      1050,         0,      0.59,      0.57,      0.01,      0.00
       117,        26,      2730,         0,      0.61,      0.57,      0.04,      0.00
       118,        11,      1166,         0,      0.59,      0.57,      0.02,      0.00
       119,       249,     26145,         0,      0.95,      0.59,      0.36,      0.00
       120,        10,      1060,         0,      0.59,      0.56,      0.01,      0.00
       121,        13,      1378,         0,      0.58,      0.55,      0.02,      0.00
       122,        39,      4095,         0,      0.64,      0.58,      0.06,      0.00
       123,        13,      1365,         0,      0.59,      0.57,      0.02,      0.00
       124,        23,      2415,         0,      0.60,      0.56,      0.03,      0.00
       125,       532,     55860,         0,      1.35,      0.59,      0.75,      0.00
       126,        49,      5145,         0,      0.68,      0.60,      0.07,      0.00
       127,        63,      6615,         0,      0.69,      0.59,      0.09,      0.00
       128,        12,      1271,         0,      0.56,      0.54,      0.02,      0.00
       129,        16,      1696,         0,      0.62,      0.59,      0.02,      0.00
       130,        11,      1166,         0,      0.56,      0.54,      0.02,      0.00
       131,        18,      1902,         0,      0.60,      0.57,      0.03,      0.00
       132,        12,      1265,         0,      0.59,      0.57,      0.02,      0.00
       133,        39,      4095,         0,      0.66,      0.59,      0.06,      0.00
       134,       550,     57750,         0,      1.37,      0.58,      0.78,      0.00
       135,        12,      1260,         0,      0.59,      0.57,      0.02,      0.00
       136,        19,      1995,         0,      0.60,      0.56,      0.03,      0.00
       137,        10,         0,   1595850,      0.63,      0.44,      0.00,      0.18
       138,       230,     24150,         0,      0.92,      0.59,      0.33,      0.00
       139,       199,     20895,         0,      0.88,      0.59,      0.28,      0.00
       140,        56,      5880,         0,      0.68,      0.60,      0.08,      0.00
       141,       346,     36330,         0,      1.11,      0.61,      0.50,      0.00
       142,      1005,    105525,         0,      1.99,      0.55,      1.44,      0.00
       143,        15,      1590,         0,      0.60,      0.57,      0.02,      0.00
       144,        10,      1060,         0,      0.54,      0.52,      0.01,      0.00
