queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
       625,        65,      5847,         0,      0.61,      0.51,      0.09,      0.00
       626,        17,      1530,         0,      0.54,      0.51,      0.03,      0.00
       627,        10,       900,         0,      0.55,      0.52,      0.02,      0.00
       628,        10,       900,         0,      0.51,      0.49,      0.02,      0.00
       629,        11,       990,         0,      0.55,      0.53,      0.02,      0.00
       630,        12,      1080,         0,      0.56,      0.53,      0.02,      0.00
       631,       160,     14240,         0,      0.77,      0.53,      0.23,      0.00
       632,        11,       990,         0,      0.54,      0.52,      0.02,      0.00
       633,        19,      1708,         0,      0.56,      0.53,      0.03,      0.00
       634,        10,       900,         0,      0.54,      0.52,      0.02,      0.00
       635,        11,       990,         0,      0.53,      0.51,      0.02,      0.00
       636,      2964,    263796,         0,      4.74,      0.50,      4.23,      0.00
       637,        42,      3771,         0,      0.59,      0.53,      0.06,      0.00
       638,        21,      1869,         0,      0.55,      0.51,      0.03,      0.00
       639,        66,      5874,         0,      0.63,      0.53,      0.09,      0.00
       640,        10,       900,         0,      0.51,      0.48,      0.01,      0.00
       641,        29,      2581,         0,      0.57,      0.52,      0.04,      0.00
       642,        13,      1170,         0,      0.54,      0.52,      0.02,      0.00
       643,       489,     43521,         0,      1.23,      0.54,      0.69,      0.00
       644,        10,       890,         0,      0.56,      0.54,      0.02,      0.00
       645,        10,         0,   1357360,      0.60,      0.44,      0.00,      0.16
       646,       156,     13884,         0,      0.75,      0.52,      0.22,      0.00
       647,        11,       989,         0,      0.54,      0.52,      0.02,      0.00
       648,        24,      2160,         0,      0.56,      0.52,      0.03,      0.00
       649,        37,      3329,         0,      0.58,      0.52,      0.05,      0.00
       650,       277,     24653,         0,      0.89,      0.49,      0.39,      0.00
       651,        10,         0,   1357360,      0.62,      0.45,      0.00,      0.16
       652,       867,     77163,         0,      1.73,      0.49,      1.24,      0.00
       653,        10,       900,         0,      0.51,      0.49,      0.02,      0.00
       654,      1325,    117925,         0,      2.41,      0.51,      1.89,      0.00
       655,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
       656,       293,     26077,         0,      0.93,      0.51,      0.41,      0.00
       657,       824,     73336,         0,      1.68,      0.51,      1.16,      0.00
       658,        17,      1530,         0,      0.55,      0.52,      0.02,      0.00
       659,        47,      4224,         0,      0.59,      0.52,      0.07,      0.00
       660,        28,      2520,         0,      0.56,      0.51,      0.04,      0.00
       661,        10,       900,         0,      0.47,      0.45,      0.01,      0.00
       662,        12,      1080,         0,      0.53,      0.51,      0.02,      0.00
       663,        10,       900,         0,      0.51,      0.49,      0.01,      0.00
       664,        14,      1246,         0,      0.54,      0.51,      0.02,      0.00
       665,        10,       900,         0,      0.54,      0.52,      0.01,      0.00
       666,        11,       990,         0,      0.55,      0.53,      0.02,      0.00
       667,        12,      1076,         0,      0.54,      0.52,      0.02,      0.00
       668,        10,       900,         0,      0.50,      0.48,      0.02,      0.00
       669,        10,        90,   1221624,      0.59,      0.45,      0.00,      0.14
       670,        11,       990,         0,      0.55,      0.52,      0.02,      0.00
       671,        10,       900,         0,      0.53,      0.51,      0.01,      0.00
       672,      5251,    467339,         0,      7.98,      0.53,      7.44,      0.00
       673,        12,      1080,         0,      0.56,      0.54,      0.02,      0.00
       674,        22,      1980,         0,      0.56,      0.52,      0.03,      0.00
       675,        11,       979,         0,      0.56,      0.53,      0.02,      0.00
       676,        17,      1530,         0,      0.56,      0.53,      0.03,      0.00
       677,      2279,    202831,         0,      3.77,      0.51,      3.25,      0.00
       678,      6783,    603687,         0,      9.96,      0.46,      9.49,      0.00
       679,        11,       990,         0,      0.53,      0.50,      0.02,      0.00
       680,        13,      1170,         0,      0.56,      0.53,      0.02,      0.00
       681,        10,       900,         0,      0.50,      0.48,      0.01,      0.00
       682,        10,       890,         0,      0.54,      0.52,      0.01,      0.00
