MemoryCapacity,RSRunningTime,QRSMinMaxLRRunningTime,RMIPSRunningTime
2,82985.094,4839.094,31396505.908106644
4,39257.640,509.833,29947390.70821508
8,16441.346,374.816,28244878.326503966
16,6195.684,330.869,26035571.566142157
32,2235.299,316.187,22812676.039979108
