queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,       101,      9500,         0,      0.20,      0.05,      0.15,      0.00
         1,       117,      7398,         0,      0.21,      0.05,      0.17,      0.00
         2,       124,     13122,         0,      0.23,      0.05,      0.18,      0.00
         3,       115,     10479,         0,      0.22,      0.05,      0.17,      0.00
         4,       106,      3436,         0,      0.20,      0.05,      0.15,      0.00
         5,       126,     25153,         0,      0.23,      0.05,      0.18,      0.00
         6,       116,     13907,         0,      0.21,      0.05,      0.16,      0.00
         7,       138,     34727,         0,      0.24,      0.05,      0.20,      0.00
         8,       124,      8895,         0,      0.22,      0.05,      0.18,      0.00
         9,       121,      6458,         0,      0.22,      0.05,      0.17,      0.00
        10,       117,      3661,         0,      0.22,      0.05,      0.17,      0.00
        11,       123,      6403,         0,      0.22,      0.05,      0.18,      0.00
        12,       131,     17171,         0,      0.23,      0.05,      0.19,      0.00
        13,       101,     12849,         0,      0.19,      0.05,      0.14,      0.00
        14,       111,     15722,         0,      0.20,      0.05,      0.16,      0.00
        15,       163,      7463,         0,      0.28,      0.05,      0.23,      0.00
        16,       105,      5262,         0,      0.20,      0.05,      0.15,      0.00
        17,       124,     15546,         0,      0.22,      0.05,      0.18,      0.00
        18,       113,     16701,         0,      0.21,      0.05,      0.16,      0.00
        19,       102,      5396,         0,      0.19,      0.05,      0.15,      0.00
        20,       151,      5173,         0,      0.26,      0.05,      0.21,      0.00
        21,       126,      6373,         0,      0.23,      0.05,      0.18,      0.00
        22,       101,     14307,         0,      0.19,      0.05,      0.14,      0.00
        23,       119,      8760,         0,      0.22,      0.05,      0.17,      0.00
        24,       116,     15623,         0,      0.21,      0.05,      0.17,      0.00
        25,       246,     11946,         0,      0.40,      0.05,      0.35,      0.00
        26,       102,     12365,         0,      0.19,      0.05,      0.15,      0.00
        27,       114,     14632,         0,      0.21,      0.05,      0.16,      0.00
        28,       113,     11716,         0,      0.21,      0.05,      0.16,      0.00
        29,       103,     13281,         0,      0.19,      0.05,      0.15,      0.00
        30,       109,     12583,         0,      0.20,      0.05,      0.15,      0.00
        31,       138,      6371,         0,      0.24,      0.05,      0.20,      0.00
        32,       136,      7311,         0,      0.24,      0.05,      0.19,      0.00
        33,       150,     17647,         0,      0.26,      0.05,      0.21,      0.00
        34,       110,     41976,         0,      0.20,      0.05,      0.16,      0.00
        35,       159,     50505,         0,      0.27,      0.05,      0.22,      0.00
        36,       147,      7814,         0,      0.26,      0.05,      0.21,      0.00
        37,       105,      5781,         0,      0.20,      0.05,      0.15,      0.00
        38,       282,    125124,         0,      0.45,      0.05,      0.40,      0.00
        39,       134,     17458,         0,      0.24,      0.05,      0.19,      0.00
        40,       102,     24870,         0,      0.19,      0.05,      0.15,      0.00
        41,       121,     42451,         0,      0.22,      0.05,      0.17,      0.00
        42,       111,      7697,         0,      0.21,      0.05,      0.16,      0.00
        43,       144,      6876,         0,      0.25,      0.05,      0.21,      0.00
        44,       216,     25496,         0,      0.35,      0.05,      0.30,      0.00
        45,       152,      8247,         0,      0.26,      0.05,      0.22,      0.00
        46,       139,     24176,         0,      0.25,      0.05,      0.20,      0.00
        47,       153,      7908,         0,      0.27,      0.05,      0.22,      0.00
        48,       184,     21848,         0,      0.31,      0.05,      0.26,      0.00
        49,       103,     23532,         0,      0.19,      0.05,      0.15,      0.00
        50,       155,      5175,         0,      0.27,      0.05,      0.22,      0.00
        51,       102,      7443,         0,      0.19,      0.05,      0.14,      0.00
        52,       111,     14917,         0,      0.20,      0.05,      0.16,      0.00
        53,       110,     31599,         0,      0.20,      0.04,      0.16,      0.00
        54,       100,      6622,         0,      0.19,      0.05,      0.14,      0.00
        55,       493,    123424,         0,      0.75,      0.05,      0.70,      0.00
        56,       110,     13255,         0,      0.21,      0.05,      0.16,      0.00
        57,       192,     44962,         0,      0.32,      0.05,      0.28,      0.00
        58,       111,     14427,         0,      0.21,      0.05,      0.16,      0.00
        59,       110,      9543,         0,      0.20,      0.05,      0.16,      0.00
        60,       116,     40871,         0,      0.21,      0.04,      0.16,      0.00
        61,       113,     40042,         0,      0.21,      0.04,      0.16,      0.00
        62,       101,      7004,         0,      0.19,      0.05,      0.14,      0.00
        63,       133,     11949,         0,      0.24,      0.05,      0.19,      0.00
        64,       114,     10776,         0,      0.21,      0.05,      0.16,      0.00
        65,       109,     10634,         0,      0.20,      0.05,      0.16,      0.00
        66,       128,      9441,         0,      0.23,      0.05,      0.18,      0.00
        67,       117,     14496,         0,      0.21,      0.05,      0.17,      0.00
        68,       107,      7608,         0,      0.20,      0.05,      0.15,      0.00
        69,       105,     14121,         0,      0.20,      0.05,      0.15,      0.00
        70,       104,     13569,         0,      0.20,      0.05,      0.15,      0.00
        71,       240,     13902,         0,      0.38,      0.05,      0.33,      0.00
        72,       184,      9722,         0,      0.31,      0.05,      0.26,      0.00
        73,       122,     14172,         0,      0.22,      0.05,      0.17,      0.00
        74,       117,     10567,         0,      0.21,      0.05,      0.17,      0.00
        75,       148,     33612,         0,      0.26,      0.05,      0.21,      0.00
        76,       102,     30454,         0,      0.19,      0.05,      0.14,      0.00
        77,       109,     11454,         0,      0.20,      0.05,      0.15,      0.00
        78,       114,     15698,         0,      0.21,      0.05,      0.16,      0.00
        79,       127,     40581,         0,      0.23,      0.05,      0.18,      0.00
        80,       103,      8918,         0,      0.19,      0.05,      0.15,      0.00
        81,       110,     15848,         0,      0.20,      0.05,      0.16,      0.00
        82,       149,     21864,         0,      0.26,      0.05,      0.21,      0.00
        83,       100,     14016,         0,      0.19,      0.05,      0.14,      0.00
        84,       129,     13474,         0,      0.23,      0.05,      0.18,      0.00
        85,       133,     18467,         0,      0.24,      0.05,      0.19,      0.00
        86,       117,     12695,         0,      0.21,      0.05,      0.17,      0.00
        87,       122,     13411,         0,      0.22,      0.05,      0.17,      0.00
        88,       100,      6090,         0,      0.19,      0.05,      0.14,      0.00
        89,       114,     14916,         0,      0.21,      0.05,      0.16,      0.00
        90,       131,      9061,         0,      0.23,      0.05,      0.18,      0.00
        91,       104,     20527,         0,      0.20,      0.05,      0.15,      0.00
        92,       174,     69234,         0,      0.29,      0.05,      0.25,      0.00
        93,       117,      7626,         0,      0.21,      0.05,      0.16,      0.00
        94,       137,      9387,         0,      0.24,      0.05,      0.19,      0.00
        95,       168,     63147,         0,      0.28,      0.05,      0.24,      0.00
        96,       102,      5293,         0,      0.19,      0.05,      0.15,      0.00
        97,       114,     15263,         0,      0.21,      0.05,      0.16,      0.00
        98,       137,      9964,         0,      0.24,      0.05,      0.20,      0.00
        99,       166,      9007,         0,      0.29,      0.05,      0.24,      0.00
       100,       120,      2380,         0,      0.22,      0.05,      0.17,      0.00
       101,       128,     14624,         0,      0.23,      0.05,      0.18,      0.00
       102,       121,      6863,         0,      0.22,      0.05,      0.17,      0.00
       103,       111,     36004,         0,      0.21,      0.05,      0.16,      0.00
       104,       105,      6977,         0,      0.20,      0.05,      0.15,      0.00
       105,       101,     12914,         0,      0.19,      0.05,      0.15,      0.00
       106,       141,     52449,         0,      0.25,      0.04,      0.20,      0.00
       107,       114,     14133,         0,      0.21,      0.05,      0.16,      0.00
       108,       102,     12228,         0,      0.19,      0.05,      0.14,      0.00
       109,       112,      6321,         0,      0.21,      0.05,      0.16,      0.00
       110,       112,     21649,         0,      0.21,      0.05,      0.16,      0.00
       111,       116,      6910,         0,      0.21,      0.05,      0.17,      0.00
       112,       124,     17270,         0,      0.22,      0.05,      0.18,      0.00
       113,       141,     19694,         0,      0.25,      0.05,      0.20,      0.00
       114,       143,      8057,         0,      0.25,      0.05,      0.20,      0.00
       115,       106,     19909,         0,      0.20,      0.05,      0.15,      0.00
       116,       129,      8684,         0,      0.23,      0.05,      0.18,      0.00
       117,       148,      7628,         0,      0.26,      0.05,      0.21,      0.00
       118,       109,     14913,         0,      0.20,      0.05,      0.16,      0.00
       119,       114,     11090,         0,      0.21,      0.05,      0.16,      0.00
       120,       131,     35106,         0,      0.23,      0.05,      0.19,      0.00
       121,       138,      2758,         0,      0.24,      0.05,      0.20,      0.00
       122,       102,      2298,         0,      0.19,      0.05,      0.14,      0.00
       123,       240,      5070,         0,      0.39,      0.05,      0.34,      0.00
       124,       122,     11885,         0,      0.23,      0.05,      0.18,      0.00
       125,       113,      7851,         0,      0.21,      0.05,      0.16,      0.00
       126,       127,     13856,         0,      0.23,      0.05,      0.18,      0.00
       127,       126,      6456,         0,      0.23,      0.05,      0.18,      0.00
       128,       109,      5786,         0,      0.20,      0.05,      0.16,      0.00
       129,       133,      6167,         0,      0.24,      0.05,      0.19,      0.00
       130,       104,     11749,         0,      0.20,      0.05,      0.15,      0.00
       131,       104,      5880,         0,      0.20,      0.05,      0.15,      0.00
       132,       103,      6856,         0,      0.19,      0.05,      0.15,      0.00
       133,       109,      7618,         0,      0.20,      0.05,      0.16,      0.00
       134,       112,     30831,         0,      0.21,      0.05,      0.16,      0.00
       135,       119,      5225,         0,      0.22,      0.05,      0.17,      0.00
       136,       116,     17241,         0,      0.21,      0.05,      0.17,      0.00
       137,       112,     16390,         0,      0.21,      0.05,      0.16,      0.00
       138,       101,      5142,         0,      0.19,      0.05,      0.14,      0.00
