queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
        95,        14,      7182,         0,      0.07,      0.05,      0.02,      0.00
        96,        52,     26624,         0,      0.12,      0.05,      0.07,      0.00
        97,        10,      5130,         0,      0.06,      0.05,      0.01,      0.00
        98,        70,     35910,         0,      0.15,      0.05,      0.10,      0.00
        99,      1646,    844393,         0,      2.38,      0.05,      2.33,      0.00
       100,      3053,   1563136,         0,      4.38,      0.05,      4.33,      0.00
       101,        34,     17442,         0,      0.10,      0.05,      0.05,      0.00
       102,      1296,    664845,         0,      1.88,      0.05,      1.84,      0.00
       103,        12,      6156,         0,      0.07,      0.05,      0.02,      0.00
       104,       134,     68742,         0,      0.24,      0.05,      0.19,      0.00
       105,        19,      9747,         0,      0.08,      0.05,      0.03,      0.00
       106,        16,      8208,         0,      0.07,      0.05,      0.02,      0.00
       107,        14,      7182,         0,      0.07,      0.05,      0.02,      0.00
       108,        26,     13338,         0,      0.09,      0.05,      0.04,      0.00
       109,        13,      6656,         0,      0.07,      0.05,      0.02,      0.00
       110,        12,      6156,         0,      0.07,      0.05,      0.02,      0.00
       111,        42,     21504,         0,      0.11,      0.05,      0.06,      0.00
       112,        27,     13851,         0,      0.09,      0.05,      0.04,      0.00
       113,        38,     19494,         0,      0.10,      0.05,      0.05,      0.00
       114,        25,     12800,         0,      0.09,      0.05,      0.04,      0.00
       115,        14,      7182,         0,      0.07,      0.05,      0.02,      0.00
       116,        93,     47709,         0,      0.18,      0.05,      0.13,      0.00
       117,       113,     57856,         0,      0.21,      0.05,      0.16,      0.00
       118,        17,      8721,         0,      0.07,      0.05,      0.02,      0.00
       119,        63,     32319,         0,      0.14,      0.05,      0.09,      0.00
       120,        17,      8721,         0,      0.07,      0.05,      0.02,      0.00
       121,      3166,   1620992,         0,      4.53,      0.05,      4.47,      0.00
       122,      8882,   4547584,         0,     12.61,      0.05,     12.56,      0.00
       123,     15220,   7792640,         0,     21.58,      0.05,     21.52,      0.00
       124,        16,      8207,         0,      0.08,      0.05,      0.02,      0.00
       125,       139,     71307,         0,      0.24,      0.05,      0.20,      0.00
       126,        66,     33858,         0,      0.14,      0.05,      0.09,      0.00
       127,        19,      9728,         0,      0.08,      0.05,      0.03,      0.00
       128,        31,     15872,         0,      0.09,      0.05,      0.04,      0.00
       129,       155,     79360,         0,      0.27,      0.05,      0.22,      0.00
       130,        24,     12311,         0,      0.08,      0.05,      0.03,      0.00
       131,        24,     12288,         0,      0.08,      0.05,      0.03,      0.00
       132,        53,     27183,         0,      0.12,      0.05,      0.08,      0.00
       133,        29,     14877,         0,      0.09,      0.05,      0.04,      0.00
       134,        11,      5643,         0,      0.06,      0.05,      0.02,      0.00
       135,       140,     71680,         0,      0.25,      0.05,      0.20,      0.00
       136,        21,     10773,         0,      0.08,      0.05,      0.03,      0.00
       137,        31,     15903,         0,      0.09,      0.05,      0.04,      0.00
       138,        22,     11264,         0,      0.08,      0.05,      0.03,      0.00
       139,       775,    396800,         0,      1.15,      0.05,      1.10,      0.00
       140,      1910,    979825,         0,      2.77,      0.05,      2.71,      0.00
       141,        73,     37449,         0,      0.15,      0.05,      0.10,      0.00
       142,       849,    435537,         0,      1.26,      0.05,      1.21,      0.00
       143,        71,     36423,         0,      0.15,      0.05,      0.10,      0.00
       144,        34,     17442,         0,      0.10,      0.05,      0.05,      0.00
       145,        90,     46170,         0,      0.18,      0.05,      0.13,      0.00
       146,       302,    154624,         0,      0.48,      0.05,      0.43,      0.00
       147,        47,     24108,         0,      0.12,      0.05,      0.07,      0.00
       148,        16,      8208,         0,      0.07,      0.05,      0.02,      0.00
       149,        42,     21546,         0,      0.11,      0.05,      0.06,      0.00
       150,        26,     13338,         0,      0.09,      0.05,      0.04,      0.00
