queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       780,   1822611,         0,       568,   1823179,    163712,      4.32,      0.58,      3.74
       781,   1823123,        49,         7,   1823179,      2176,      0.67,      0.59,      0.08
       782,   1823129,        50,         0,   1823179,         0,      0.54,      0.54,      0.00
       783,   1821198,         0,      1981,   1823179,    569728,     13.24,      0.57,     12.66
       784,   1823122,        47,        10,   1823179,      2880,      0.67,      0.58,      0.09
       785,   1822647,         0,       532,   1823179,    152640,      3.96,      0.55,      3.41
       786,   1823069,        20,        90,   1823179,     26944,      1.28,      0.60,      0.68
       787,   1823121,        47,        11,   1823179,      3136,      0.68,      0.59,      0.09
       788,   1823068,         0,       111,   1823179,     31552,      1.38,      0.59,      0.79
       789,   1823094,        14,        71,   1823179,     20992,      1.19,      0.58,      0.60
       790,   1823126,        49,         4,   1823179,      1216,      0.55,      0.52,      0.03
       791,   1823128,        48,         3,   1823179,       960,      0.59,      0.54,      0.05
       792,   1823128,        45,         6,   1823179,      1792,      0.65,      0.59,      0.07
       793,   1820546,         0,      2633,   1823179,    757376,     17.37,      0.61,     16.74
       794,   1823129,        50,         0,   1823179,         0,      0.58,      0.58,      0.00
       795,   1823116,         0,        63,   1823179,     17792,      1.06,      0.59,      0.47
       796,   1823128,        47,         4,   1823179,      1152,      0.63,      0.58,      0.06
       797,   1823022,        30,       127,   1823179,     37440,      1.46,      0.59,      0.87
       798,   1823129,        50,         0,   1823179,         0,      0.61,      0.61,      0.00
       799,   1823069,         3,       107,   1823179,     31808,      1.40,      0.58,      0.81
       800,   1823124,        48,         7,   1823179,      2112,      0.68,      0.61,      0.06
       801,   1823008,         0,       171,   1823179,     49088,      1.82,      0.63,      1.19
       802,   1823128,        40,        11,   1823179,      3072,      0.74,      0.63,      0.10
       803,   1764513,         0,     58666,   1823179,  16892096,    323.58,      0.55,    322.86
       804,   1822996,        31,       152,   1823179,     44608,      1.68,      0.58,      1.10
       805,   1823118,        28,        33,   1823179,      9472,      0.85,      0.60,      0.25
       806,   1823128,        47,         4,   1823179,      1216,      0.60,      0.55,      0.05
       807,   1822445,         0,       734,   1823179,    210880,      5.51,      0.60,      4.91
       808,   1822442,         0,       737,   1823179,    212544,      5.55,      0.61,      4.93
       809,   1823097,        44,        38,   1823179,     11264,      0.90,      0.58,      0.31
       810,   1823128,         0,        51,   1823179,     14528,      0.97,      0.58,      0.39
       811,   1823105,        25,        49,   1823179,     14656,      1.01,      0.60,      0.41
       812,   1823102,        17,        60,   1823179,     17600,      1.07,      0.61,      0.46
       813,   1822727,         0,       452,   1823179,    130816,      3.58,      0.61,      2.97
       814,   1823129,        50,         0,   1823179,         0,      0.55,      0.55,      0.00
       815,   1823127,        49,         3,   1823179,       960,      0.51,      0.48,      0.03
       816,   1823125,        41,        13,   1823179,      3904,      0.72,      0.59,      0.13
       817,   1823122,        49,         8,   1823179,      2496,      0.62,      0.55,      0.07
       818,   1823128,        48,         3,   1823179,       896,      0.55,      0.50,      0.05
       819,   1823103,        18,        58,   1823179,     17152,      1.02,      0.60,      0.41
       820,   1821518,         0,      1661,   1823179,    478784,     11.23,      0.61,     10.61
       821,   1823128,        47,         4,   1823179,      1216,      0.61,      0.55,      0.06
       822,   1823128,        33,        18,   1823179,      5376,      0.76,      0.60,      0.16
       823,   1822637,         0,       542,   1823179,    155520,      4.01,      0.58,      3.42
       824,   1823115,        30,        34,   1823179,     10176,      0.87,      0.59,      0.28
       825,   1823123,        42,        14,   1823179,      4032,      0.72,      0.58,      0.13
       826,   1823112,        47,        20,   1823179,      6016,      0.84,      0.66,      0.17
       827,   1820266,         0,      2913,   1823179,    841536,     18.69,      0.60,     18.08
       828,   1823126,        49,         4,   1823179,      1152,      0.63,      0.59,      0.04
       829,   1823125,        38,        16,   1823179,      4864,      0.71,      0.58,      0.13
       830,   1823124,        29,        26,   1823179,      7744,      0.80,      0.58,      0.22
       831,   1820673,         0,      2506,   1823179,    723072,     16.57,      0.60,     15.96
       832,   1823129,        50,         0,   1823179,         0,      0.60,      0.60,      0.00
       833,   1823109,        36,        34,   1823179,     10176,      0.86,      0.58,      0.27
       834,   1823110,         0,        69,   1823179,     19776,      1.16,      0.61,      0.54
       835,   1823119,        38,        22,   1823179,      6336,      0.77,      0.58,      0.18
       836,   1823101,         0,        78,   1823179,     22464,      1.18,      0.62,      0.57
       837,   1823101,        44,        34,   1823179,      9792,      0.86,      0.59,      0.27
       838,   1823126,        31,        22,   1823179,      6272,      0.80,      0.60,      0.20
       839,   1823095,        31,        53,   1823179,     15360,      0.95,      0.57,      0.38
       840,   1822867,         0,       312,   1823179,     90304,      2.72,      0.62,      2.10
       841,   1823129,        50,         0,   1823179,         0,      0.60,      0.60,      0.00
       842,   1823123,         9,        47,   1823179,     14144,      0.97,      0.60,      0.37
       843,   1823095,        42,        42,   1823179,     12416,      0.94,      0.61,      0.32
       844,   1807535,         5,     15639,   1823179,   4512960,     93.42,      0.61,     92.77
       845,   1781688,        50,         0,   1823179,         0,      0.52,      0.52,      0.00
       846,   1823129,        50,         0,   1823179,         0,      0.50,      0.50,      0.00
       847,   1760113,        50,         0,   1823179,         0,      0.56,      0.56,      0.00
       848,   1823116,        32,        31,   1823179,      9152,      0.83,      0.57,      0.26
       849,   1823098,        30,        51,   1823179,     15552,      0.96,      0.59,      0.37
       850,   1822528,         0,       651,   1823179,    188096,      4.83,      0.59,      4.24
       851,   1823086,        47,        46,   1823179,     13312,      0.93,      0.62,      0.31
       852,   1822890,         1,       288,   1823179,     83584,      2.61,      0.58,      2.02
       853,   1823110,        27,        42,   1823179,     12416,      0.95,      0.61,      0.34
       854,   1823029,         0,       150,   1823179,     43328,      1.62,      0.60,      1.02
       855,   1822509,         0,       670,   1823179,    193472,      5.13,      0.61,      4.53
       856,   1815756,         0,      7423,   1823179,   2140096,     46.02,      0.60,     45.40
       857,   1823127,        49,         3,   1823179,       896,      0.62,      0.57,      0.04
       858,   1823128,        48,         3,   1823179,       896,      0.58,      0.53,      0.05
       859,   1823129,        50,         0,   1823179,         0,      0.58,      0.58,      0.00
       860,   1823097,        48,        34,   1823179,     10048,      0.89,      0.61,      0.28
       861,   1822826,         0,       353,   1823179,    102400,      2.96,      0.61,      2.34
       862,   1823127,        24,        28,   1823179,      8256,      0.79,      0.57,      0.22
       863,   1823115,        46,        18,   1823179,      5312,      0.76,      0.58,      0.18
       864,   1821749,         0,      1430,   1823179,    411840,      9.63,      0.57,      9.05
       865,   1823050,         0,       129,   1823179,     37568,      1.54,      0.58,      0.97
       866,   1823115,        49,        15,   1823179,      4544,      0.74,      0.61,      0.12
       867,   1816933,        34,      6212,   1823179,   1788352,     39.25,      0.60,     38.64
       868,   1823043,         0,       136,   1823179,     38912,      1.61,      0.62,      0.98
       869,   1823124,        46,         9,   1823179,      2560,      0.63,      0.54,      0.09
       870,   1823070,        46,        63,   1823179,     18368,      1.07,      0.62,      0.45
       871,   1823117,         8,        54,   1823179,     15680,      0.98,      0.59,      0.39
       872,   1818934,         0,      4245,   1823179,   1223744,     27.22,      0.61,     26.60
       873,   1822905,        45,       229,   1823179,     67584,      2.11,      0.57,      1.54
       874,   1823092,        43,        44,   1823179,     13120,      0.96,      0.61,      0.35
       875,   1823120,        45,        14,   1823179,      3968,      0.73,      0.60,      0.12
       876,   1823113,        42,        24,   1823179,      6848,      0.85,      0.59,      0.26
       877,   1823094,         0,        85,   1823179,     24512,      1.23,      0.60,      0.63
       878,   1823058,         0,       121,   1823179,     35200,      1.45,      0.60,      0.85
       879,   1823098,        31,        50,   1823179,     14720,      0.94,      0.59,      0.35
       880,   1823110,         0,        69,   1823179,     19904,      1.13,      0.59,      0.54
       881,   1823112,         0,        67,   1823179,     19200,      1.07,      0.61,      0.46
       882,   1818520,         0,      4659,   1823179,   1342848,     29.95,      0.62,     29.32
       883,   1823126,        47,         6,   1823179,      1728,      0.63,      0.56,      0.06
       884,   1823114,        48,        17,   1823179,      4864,      0.79,      0.64,      0.14
       885,   1823124,        36,        19,   1823179,      5696,      0.77,      0.58,      0.19
       886,   1823112,        44,        23,   1823179,      6912,      0.81,      0.59,      0.22
       887,   1822959,        36,       184,   1823179,     54976,      1.89,      0.55,      1.34
       888,   1823126,        46,         7,   1823179,      2048,      0.62,      0.57,      0.05
       889,   1823122,         9,        48,   1823179,     14464,      0.91,      0.57,      0.33
       890,   1823027,         0,       152,   1823179,     43328,      1.70,      0.62,      1.07
       891,   1823126,        49,         4,   1823179,      1216,      0.57,      0.53,      0.04
       892,   1823119,        49,        11,   1823179,      3392,      0.67,      0.58,      0.09
       893,   1823129,        50,         0,   1823179,         0,      0.59,      0.59,      0.00
       894,   1814530,         0,      8649,   1823179,   2490688,     53.98,      0.58,     53.38
       895,   1822876,         0,       303,   1823179,     85952,      2.67,      0.60,      2.06
       896,   1823109,        44,        26,   1823179,      7616,      0.83,      0.61,      0.22
       897,   1823109,        45,        25,   1823179,      7488,      0.80,      0.57,      0.22
       898,   1823093,         0,        86,   1823179,     24576,      1.26,      0.59,      0.67
       899,   1820437,         1,      2741,   1823179,    791168,     18.28,      0.59,     17.68
       900,   1823109,        23,        47,   1823179,     13952,      0.92,      0.61,      0.31
       901,   1821600,         0,      1579,   1823179,    454400,     10.78,      0.59,     10.19
       902,   1822992,         0,       187,   1823179,     53504,      1.90,      0.60,      1.30
       903,   1807654,         0,     15525,   1823179,   4465600,     94.03,      0.56,     93.43
       904,   1821475,         1,      1703,   1823179,    489344,     11.47,      0.62,     10.85
       905,   1823094,        40,        45,   1823179,     13504,      0.94,      0.60,      0.34
       906,   1822857,         1,       321,   1823179,     92480,      2.67,      0.63,      2.04
       907,   1823128,        47,         4,   1823179,      1088,      0.59,      0.55,      0.04
       908,   1823110,        43,        26,   1823179,      8000,      0.81,      0.59,      0.21
       909,   1823100,        41,        38,   1823179,     11328,      0.90,      0.60,      0.30
       910,   1817719,         0,      5460,   1823179,   1575104,     35.17,      0.60,     34.55
       911,   1822528,         0,       651,   1823179,    186816,      4.93,      0.59,      4.34
       912,   1823120,         0,        59,   1823179,     17152,      1.07,      0.61,      0.45
       913,   1823099,        11,        69,   1823179,     20160,      1.11,      0.60,      0.51
       914,   1823127,        43,         9,   1823179,      2688,      0.68,      0.60,      0.08
       915,   1823123,        48,         8,   1823179,      2240,      0.66,      0.57,      0.09
       916,   1823129,        50,         0,   1823179,         0,      0.55,      0.55,      0.00
       917,   1823102,         0,        77,   1823179,     22080,      1.15,      0.57,      0.58
       918,   1822811,         0,       368,   1823179,    105984,      3.06,      0.62,      2.44
       919,   1823129,        50,         0,   1823179,         0,      0.58,      0.58,      0.00
       920,   1823108,        33,        38,   1823179,     11264,      0.89,      0.57,      0.31
       921,   1822936,         0,       243,   1823179,     69632,      2.29,      0.60,      1.69
       922,   1823126,        30,        23,   1823179,      6784,      0.81,      0.60,      0.21
       923,   1823065,        41,        73,   1823179,     21760,      1.17,      0.60,      0.57
       924,   1823127,        49,         3,   1823179,       896,      0.60,      0.56,      0.04
       925,   1823123,        32,        24,   1823179,      6912,      0.77,      0.59,      0.17
       926,   1822993,         0,       186,   1823179,     53184,      1.94,      0.61,      1.33
       927,   1822800,         0,       379,   1823179,    108288,      3.27,      0.61,      2.66
       928,   1823103,        47,        29,   1823179,      8512,      0.86,      0.61,      0.25
       929,   1823124,        49,         6,   1823179,      1664,      0.64,      0.59,      0.05
       930,   1822761,         0,       418,   1823179,    120512,      3.37,      0.62,      2.75
       931,   1823127,        47,         5,   1823179,      1344,      0.64,      0.58,      0.06
       932,   1823128,        45,         6,   1823179,      1664,      0.60,      0.54,      0.06
       933,   1822940,         0,       239,   1823179,     68992,      2.16,      0.61,      1.55
       934,   1822658,         0,       521,   1823179,    149568,      4.15,      0.57,      3.57
       935,   1823061,        48,        70,   1823179,     20608,      1.20,      0.63,      0.57
       936,   1823128,        48,         3,   1823179,       896,      0.59,      0.55,      0.03
       937,   1823126,        24,        29,   1823179,      8384,      0.83,      0.59,      0.23
       938,   1823125,        47,         7,   1823179,      1920,      0.68,      0.61,      0.06
       939,   1823124,        46,         9,   1823179,      2752,      0.66,      0.57,      0.09
       940,   1814998,         0,      8181,   1823179,   2355712,     50.60,      0.59,     49.98
       941,   1823129,        50,         0,   1823179,         0,      0.55,      0.55,      0.00
       942,   1823129,        50,         0,   1823179,         0,      0.57,      0.57,      0.00
       943,   1814948,         0,      8231,   1823179,   2366080,     51.64,      0.55,     51.07
       944,   1823006,        47,       126,   1823179,     37376,      1.55,      0.61,      0.94
       945,   1823024,        45,       110,   1823179,     32768,      1.41,      0.59,      0.82
       946,   1823124,        49,         6,   1823179,      1664,      0.66,      0.58,      0.07
       947,   1822358,         0,       821,   1823179,    237440,      5.85,      0.60,      5.24
       948,   1823125,        37,        17,   1823179,      5120,      0.78,      0.62,      0.16
       949,   1822846,         6,       327,   1823179,     97280,      2.79,      0.56,      2.22
       950,   1822780,         0,       399,   1823179,    115008,      3.27,      0.62,      2.66
       951,   1823089,         0,        90,   1823179,     25792,      1.26,      0.61,      0.65
       952,   1823126,        46,         7,   1823179,      2176,      0.68,      0.61,      0.07
       953,   1823128,        47,         4,   1823179,      1216,      0.54,      0.50,      0.03
       954,   1823117,        42,        20,   1823179,      6016,      0.77,      0.60,      0.17
       955,   1823079,        34,        66,   1823179,     19392,      1.14,      0.61,      0.53
       956,   1822980,         0,       199,   1823179,     57728,      1.97,      0.60,      1.37
       957,   1823080,        38,        61,   1823179,     17920,      1.05,      0.61,      0.45
       958,    407421,        50,         0,   1823179,         0,      0.75,      0.75,      0.00
       959,   1822956,        35,       188,   1823179,     55424,      1.87,      0.59,      1.27
       960,   1823124,        49,         6,   1823179,      1792,      0.66,      0.59,      0.07
       961,   1820960,         0,      2219,   1823179,    637632,     14.61,      0.60,     14.01
       962,   1823122,        43,        14,   1823179,      4160,      0.72,      0.60,      0.11
       963,   1823093,         0,        86,   1823179,     24832,      1.21,      0.58,      0.62
       964,   1823022,         0,       157,   1823179,     45632,      1.70,      0.60,      1.09
       965,   1823128,        48,         3,   1823179,       832,      0.58,      0.55,      0.03
       966,   1823117,        46,        16,   1823179,      4736,      0.72,      0.59,      0.13
       967,   1823129,        50,         0,   1823179,         0,      0.53,      0.52,      0.00
       968,   1823122,        34,        23,   1823179,      6848,      0.77,      0.57,      0.20
       969,   1823019,         0,       160,   1823179,     46336,      1.72,      0.61,      1.11
       970,   1822143,         0,      1036,   1823179,    297728,      7.36,      0.62,      6.73
       971,   1823127,        45,         7,   1823179,      2048,      0.67,      0.59,      0.08
       972,   1823034,         0,       145,   1823179,     41920,      1.65,      0.62,      1.03
       973,   1822953,         0,       226,   1823179,     65536,      2.17,      0.57,      1.59
       974,   1823104,        48,        27,   1823179,      7872,      0.79,      0.58,      0.20
       975,   1821956,         0,      1223,   1823179,    353280,      8.53,      0.58,      7.95
       976,   1823129,        50,         0,   1823179,         0,      0.63,      0.63,      0.00
       977,   1823123,        49,         7,   1823179,      2048,      0.61,      0.55,      0.06
       978,   1822234,         2,       943,   1823179,    271616,      6.64,      0.56,      6.07
       979,   1823082,         0,        97,   1823179,     27584,      1.35,      0.61,      0.73
       980,   1818499,         0,      4680,   1823179,   1349632,     29.45,      0.57,     28.86
       981,   1823127,        47,         5,   1823179,      1536,      0.62,      0.56,      0.05
       982,   1795931,         0,     27248,   1823179,   7845696,    157.71,      0.56,    157.07
       983,   1814638,         0,      8541,   1823179,   2456128,     52.78,      0.54,     52.22
       984,   1823070,         0,       109,   1823179,     30976,      1.41,      0.59,      0.82
       985,   1823120,        46,        13,   1823179,      3904,      0.71,      0.60,      0.11
       986,   1823129,        50,         0,   1823179,         0,      0.57,      0.57,      0.00
       987,   1823122,        49,         8,   1823179,      2368,      0.59,      0.52,      0.07
       988,   1823113,        15,        51,   1823179,     14656,      0.97,      0.61,      0.36
       989,   1823122,        38,        19,   1823179,      5568,      0.76,      0.60,      0.16
       990,   1823127,        45,         7,   1823179,      2176,      0.64,      0.56,      0.08
       991,   1823126,        46,         7,   1823179,      2112,      0.60,      0.52,      0.08
       992,   1823124,        45,        10,   1823179,      2816,      0.66,      0.59,      0.07
       993,   1823120,        35,        24,   1823179,      6912,      0.80,      0.61,      0.19
       994,   1823129,        50,         0,   1823179,         0,      0.59,      0.58,      0.00
       995,   1823031,         0,       148,   1823179,     42688,      1.63,      0.57,      1.06
       996,   1823125,        48,         6,   1823179,      1856,      0.67,      0.60,      0.07
       997,   1823127,        38,        14,   1823179,      4224,      0.70,      0.57,      0.13
       998,   1823128,        44,         7,   1823179,      2176,      0.63,      0.57,      0.06
       999,   1823129,        50,         0,   1823179,         0,      0.60,      0.59,      0.00
