queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
       256,   1823128,        45,         6,   1823179,       448,      0.60,      0.56,      0.05
       257,   1823129,        50,         0,   1823179,         0,      0.54,      0.54,      0.00
       258,   1823128,        48,         3,   1823179,       384,      0.46,      0.44,      0.02
       259,   1823121,        48,        10,   1823179,       704,      0.71,      0.60,      0.11
       260,   1823127,        47,         5,   1823179,       384,      0.61,      0.57,      0.03
       261,   1823126,        49,         4,   1823179,       256,      0.57,      0.54,      0.03
       262,   1823126,        41,        12,   1823179,       768,      0.71,      0.60,      0.11
       263,   1823129,        50,         0,   1823179,         0,      0.58,      0.58,      0.00
       264,   1823129,        50,         0,   1823179,         0,      0.44,      0.44,      0.00
       265,   1823125,        45,         9,   1823179,       640,      0.67,      0.57,      0.09
       266,   1823122,        48,         9,   1823179,       640,      0.65,      0.55,      0.10
       267,   1823127,        49,         3,   1823179,       256,      0.55,      0.50,      0.04
       268,   1823126,        49,         4,   1823179,       256,      0.57,      0.54,      0.02
       269,   1823124,        47,         8,   1823179,       512,      0.67,      0.58,      0.08
       270,   1823127,        48,         4,   1823179,       256,      0.64,      0.60,      0.04
       271,   1823094,        49,        36,   1823179,      2304,      0.86,      0.59,      0.27
       272,   1823126,        47,         6,   1823179,       768,      0.61,      0.55,      0.06
       273,   1823126,        46,         7,   1823179,       576,      0.59,      0.52,      0.07
       274,   1823122,        49,         8,   1823179,      1408,      0.50,      0.43,      0.07
       275,   1823129,        50,         0,   1823179,         0,      0.42,      0.41,      0.00
       276,   1823128,        48,         3,   1823179,       192,      0.55,      0.51,      0.04
       277,   1823126,        47,         6,   1823179,       384,      0.59,      0.53,      0.06
       278,   1823120,        49,        10,   1823179,       640,      0.67,      0.57,      0.10
       279,   1823128,        49,         2,   1823179,       256,      0.46,      0.44,      0.02
       280,   1823129,        50,         0,   1823179,         0,      0.48,      0.48,      0.00
       281,   1823121,        48,        10,   1823179,       640,      0.66,      0.53,      0.12
       282,   1823127,        49,         3,   1823179,       192,      0.53,      0.48,      0.05
       283,   1823127,        49,         3,   1823179,       192,      0.57,      0.55,      0.02
       284,   1823129,        50,         0,   1823179,         0,      0.59,      0.59,      0.00
       285,   1823108,        48,        23,   1823179,      1472,      0.76,      0.56,      0.20
       286,   1823124,        49,         6,   1823179,       448,      0.65,      0.60,      0.05
       287,   1823129,        50,         0,   1823179,         0,      0.50,      0.49,      0.00
       288,   1823128,        48,         3,   1823179,      1152,      0.46,      0.41,      0.04
       289,   1823124,        38,        17,   1823179,      1216,      0.74,      0.58,      0.15
       290,   1823128,        48,         3,   1823179,       192,      0.60,      0.55,      0.05
       291,   1823128,        48,         3,   1823179,       640,      0.47,      0.43,      0.05
       292,   1823128,        49,         2,   1823179,       192,      0.49,      0.47,      0.02
       293,   1823115,        44,        20,   1823179,     21184,      0.59,      0.42,      0.18
       294,   1823129,        50,         0,   1823179,         0,      0.51,      0.51,      0.00
       295,   1823128,        46,         5,   1823179,       448,      0.62,      0.57,      0.05
       296,   1823128,        48,         3,   1823179,       448,      0.48,      0.44,      0.05
       297,   1823125,        44,        10,   1823179,       704,      0.61,      0.51,      0.10
