queryID,n_prune_user,n_result_user,n_refine_user,ip_cost,io_cost,total_time,memory_index_time,io_time
        79,    283178,        50,         0,       134,         0,      0.03,      0.03,      0.00
        80,    283178,        50,         0,     11160,         0,      0.04,      0.04,      0.00
        81,    283178,        50,         0,      3696,         0,      0.04,      0.04,      0.00
        82,    283176,        47,         5,     45754,       320,      0.10,      0.06,      0.04
        83,    283178,        50,         0,       730,         0,      0.04,      0.04,      0.00
        84,    283178,        50,         0,      5435,         0,      0.04,      0.04,      0.00
        85,    283178,        50,         0,       717,         0,      0.04,      0.03,      0.00
        86,    283178,        50,         0,       594,         0,      0.04,      0.03,      0.00
        87,    283178,        50,         0,      2752,         0,      0.04,      0.04,      0.00
        88,    283178,        50,         0,       447,         0,      0.04,      0.03,      0.00
        89,    283178,        50,         0,       186,         0,      0.04,      0.03,      0.00
        90,    283176,        48,         4,       469,       256,      0.07,      0.03,      0.03
        91,    283178,        50,         0,       158,         0,      0.03,      0.03,      0.00
        92,    283178,        50,         0,      1973,         0,      0.04,      0.03,      0.00
        93,    283178,        50,         0,       201,         0,      0.04,      0.03,      0.00
        94,    283178,        50,         0,        82,         0,      0.03,      0.03,      0.00
        95,    283177,        48,         3,      1984,       256,      0.06,      0.04,      0.02
        96,    283178,        50,         0,       500,         0,      0.04,      0.04,      0.00
        97,    283177,        49,         2,      3323,       128,      0.06,      0.04,      0.02
        98,    283176,        48,         4,     43837,       256,      0.10,      0.06,      0.03
        99,    283178,        50,         0,       294,         0,      0.04,      0.03,      0.00
       100,    283178,        50,         0,      1610,         0,      0.04,      0.03,      0.00
       101,    283178,        50,         0,       205,         0,      0.03,      0.03,      0.00
       102,    283178,        50,         0,     41635,         0,      0.06,      0.05,      0.00
       103,    283178,        50,         0,     17010,         0,      0.05,      0.04,      0.00
       104,    283177,        49,         2,      4200,       192,      0.05,      0.04,      0.01
       105,    283178,        50,         0,      4607,         0,      0.04,      0.04,      0.00
       106,    283177,        48,         3,      4554,       192,      0.06,      0.04,      0.02
       107,    283178,        50,         0,     28814,         0,      0.06,      0.05,      0.00
       108,    283177,        49,         2,      2727,       128,      0.05,      0.03,      0.01
       109,    283178,        50,         0,       244,         0,      0.04,      0.04,      0.00
       110,    283178,        50,         0,      3777,         0,      0.04,      0.04,      0.00
       111,    283178,        50,         0,       242,         0,      0.04,      0.03,      0.00
       112,    283171,        34,        23,      4152,      1472,      0.16,      0.03,      0.12
       113,    283177,        49,         2,       686,       128,      0.05,      0.04,      0.01
       114,    283176,        47,         5,      2101,       320,      0.08,      0.04,      0.04
       115,    283178,        50,         0,       291,         0,      0.03,      0.03,      0.00
       116,    283178,        50,         0,      1548,         0,      0.04,      0.04,      0.00
       117,    283178,        50,         0,       245,         0,      0.04,      0.03,      0.00
       118,    283177,        49,         2,      1644,       128,      0.05,      0.03,      0.02
       119,    283178,        50,         0,       390,         0,      0.04,      0.03,      0.00
       120,    283177,        49,         2,      3143,       128,      0.05,      0.03,      0.01
       121,    283178,        50,         0,      1456,         0,      0.04,      0.03,      0.00
       122,    283178,        50,         0,      1897,         0,      0.04,      0.04,      0.00
       123,    283177,        49,         2,      5398,       128,      0.07,      0.04,      0.03
       124,    283178,        50,         0,      4223,         0,      0.04,      0.04,      0.00
       125,    283178,        50,         0,      1356,         0,      0.04,      0.03,      0.00
       126,    283178,        50,         0,      2787,         0,      0.04,      0.03,      0.00
       127,    283178,        50,         0,       635,         0,      0.04,      0.03,      0.00
       128,    283178,        50,         0,       810,         0,      0.04,      0.03,      0.00
       129,    283178,        50,         0,    166181,         0,      0.16,      0.13,      0.00
       130,    283178,        50,         0,       356,         0,      0.03,      0.03,      0.00
       131,    283177,        49,         2,      5397,       128,      0.05,      0.04,      0.02
       132,    283177,        49,         2,       542,       128,      0.05,      0.04,      0.01
       133,    283177,        49,         2,       666,       128,      0.06,      0.04,      0.02
       134,    283178,        50,         0,     22548,         0,      0.06,      0.05,      0.00
       135,    283178,        50,         0,      1210,         0,      0.03,      0.03,      0.00
       136,    283178,        50,         0,      4542,         0,      0.04,      0.03,      0.00
       137,    283178,        50,         0,     28164,         0,      0.05,      0.05,      0.00
       138,    283178,        50,         0,      3255,         0,      0.04,      0.03,      0.00
       139,    283178,        50,         0,     12241,         0,      0.04,      0.04,      0.00
       140,    283178,        50,         0,       255,         0,      0.03,      0.03,      0.00
       141,    283178,        50,         0,       157,         0,      0.03,      0.03,      0.00
       142,    283178,        50,         0,       161,         0,      0.03,      0.03,      0.00
       143,    283178,        50,         0,      1013,         0,      0.04,      0.03,      0.00
       144,    283175,        49,         4,      1251,       256,      0.07,      0.03,      0.03
       145,    283178,        50,         0,      1183,         0,      0.04,      0.04,      0.00
       146,    283177,        49,         2,       684,       128,      0.05,      0.03,      0.01
       147,    283178,        50,         0,     11353,         0,      0.05,      0.04,      0.00
       148,    283178,        50,         0,     10076,         0,      0.04,      0.04,      0.00
       149,    283178,        50,         0,       293,         0,      0.04,      0.03,      0.00
       150,    283178,        50,         0,     31180,         0,      0.06,      0.05,      0.00
       151,    283177,        49,         2,     36125,       128,      0.07,      0.05,      0.01
       152,    283178,        50,         0,      1146,         0,      0.04,      0.04,      0.00
       153,    283178,        50,         0,      4180,         0,      0.04,      0.04,      0.00
       154,    283178,        50,         0,       184,         0,      0.04,      0.03,      0.00
       155,    283178,        50,         0,      1379,         0,      0.04,      0.03,      0.00
       156,    283178,        50,         0,      1184,         0,      0.04,      0.03,      0.00
       157,    283177,        49,         2,      4913,       128,      0.05,      0.04,      0.01
       158,    283178,        50,         0,      4512,         0,      0.04,      0.04,      0.00
       159,    283177,        48,         3,       929,       192,      0.06,      0.03,      0.02
       160,    283178,        50,         0,       205,         0,      0.04,      0.03,      0.00
       161,    283178,        50,         0,       246,         0,      0.04,      0.03,      0.00
       162,    283178,        50,         0,      4936,         0,      0.04,      0.04,      0.00
       163,    283178,        50,         0,       529,         0,      0.04,      0.03,      0.00
       164,    283178,        50,         0,       510,         0,      0.03,      0.03,      0.00
       165,    283178,        50,         0,       685,         0,      0.04,      0.03,      0.00
       166,    283178,        50,         0,      1421,         0,      0.04,      0.03,      0.00
       167,    283177,        48,         3,      2180,       192,      0.06,      0.03,      0.02
       168,    283178,        50,         0,      4727,         0,      0.04,      0.04,      0.00
       169,    283178,        50,         0,       282,         0,      0.04,      0.03,      0.00
       170,    283178,        50,         0,     35052,         0,      0.06,      0.06,      0.00
       171,    283177,        49,         2,       805,       128,      0.05,      0.03,      0.01
       172,    283178,        50,         0,      1945,         0,      0.04,      0.04,      0.00
       173,    283177,        49,         2,      9705,       128,      0.06,      0.04,      0.02
       174,    283178,        50,         0,      7157,         0,      0.04,      0.04,      0.00
       175,    283178,        50,         0,      1112,         0,      0.03,      0.03,      0.00
       176,    283178,        50,         0,      1947,         0,      0.03,      0.03,      0.00
       177,    283178,        50,         0,       358,         0,      0.03,      0.03,      0.00
       178,    283174,        49,         5,       628,       384,      0.07,      0.03,      0.03
       179,    283178,        50,         0,     26552,         0,      0.06,      0.05,      0.00
       180,    283178,        50,         0,       378,         0,      0.04,      0.04,      0.00
       181,    283178,        50,         0,      1632,         0,      0.04,      0.03,      0.00
       182,    283178,        50,         0,     14916,         0,      0.05,      0.04,      0.00
       183,    283178,        50,         0,       467,         0,      0.04,      0.04,      0.00
       184,    283178,        50,         0,       394,         0,      0.04,      0.04,      0.00
       185,    283178,        50,         0,       358,         0,      0.04,      0.04,      0.00
       186,    283178,        50,         0,       812,         0,      0.04,      0.03,      0.00
       187,    283178,        50,         0,       364,         0,      0.03,      0.03,      0.00
       188,    283178,        50,         0,     18435,         0,      0.05,      0.04,      0.00
       189,    283178,        50,         0,        99,         0,      0.03,      0.03,      0.00
       190,    283178,        50,         0,       445,         0,      0.03,      0.03,      0.00
       191,    283177,        49,         2,     26215,       128,      0.06,      0.05,      0.01
       192,    283178,        50,         0,       165,         0,      0.04,      0.03,      0.00
       193,    283178,        50,         0,      4394,         0,      0.04,      0.04,      0.00
       194,    283178,        50,         0,     23563,         0,      0.06,      0.05,      0.00
       195,    283177,        49,         2,      2047,       128,      0.05,      0.03,      0.01
       196,    283178,        50,         0,     25393,         0,      0.06,      0.05,      0.00
       197,    283177,        49,         2,      2859,       128,      0.05,      0.04,      0.01
       198,    283176,        48,         4,     69933,       256,      0.12,      0.08,      0.02
       199,    283178,        50,         0,       673,         0,      0.04,      0.04,      0.00
       200,    283177,        48,         3,     69650,       192,      0.11,      0.08,      0.02
       201,    283178,        50,         0,     87694,         0,      0.11,      0.09,      0.00
       202,    283176,        49,         3,       692,       192,      0.06,      0.04,      0.02
       203,    283177,        49,         2,       541,       128,      0.05,      0.03,      0.02
       204,    283178,        50,         0,      3370,         0,      0.04,      0.04,      0.00
       205,    283178,        50,         0,      1666,         0,      0.04,      0.03,      0.00
       206,    283177,        48,         3,      1138,       192,      0.05,      0.03,      0.01
       207,    283178,        50,         0,       820,         0,      0.04,      0.04,      0.00
       208,    283178,        50,         0,       215,         0,      0.04,      0.03,      0.00
       209,    283178,        50,         0,       322,         0,      0.04,      0.03,      0.00
       210,    283178,        50,         0,       279,         0,      0.04,      0.03,      0.00
       211,    283178,        50,         0,       500,         0,      0.04,      0.04,      0.00
       212,    283178,        50,         0,       489,         0,      0.04,      0.04,      0.00
       213,    283178,        50,         0,     20638,         0,      0.05,      0.05,      0.00
       214,    283176,        49,         3,     13966,       192,      0.06,      0.04,      0.01
       215,    283177,        49,         2,       292,       128,      0.06,      0.03,      0.02
       216,    283178,        50,         0,      1164,         0,      0.04,      0.03,      0.00
       217,    283178,        50,         0,      2320,         0,      0.04,      0.03,      0.00
       218,    283178,        50,         0,      1364,         0,      0.04,      0.03,      0.00
       219,    283177,        49,         2,      5251,       128,      0.05,      0.04,      0.01
       220,    283178,        50,         0,     11569,         0,      0.05,      0.04,      0.00
       221,    283178,        50,         0,       756,         0,      0.04,      0.03,      0.00
       222,    283178,        50,         0,     43761,         0,      0.07,      0.06,      0.00
       223,    283178,        50,         0,      1059,         0,      0.03,      0.03,      0.00
       224,    283178,        50,         0,      4050,         0,      0.04,      0.03,      0.00
       225,    283178,        50,         0,      2480,         0,      0.04,      0.03,      0.00
       226,    283178,        50,         0,       610,         0,      0.03,      0.03,      0.00
       227,    283178,        50,         0,       627,         0,      0.03,      0.03,      0.00
       228,    283178,        50,         0,      4445,         0,      0.04,      0.03,      0.00
       229,    283173,        49,         6,       772,       384,      0.07,      0.03,      0.04
       230,    283178,        50,         0,       322,         0,      0.04,      0.03,      0.00
       231,    283178,        50,         0,       472,         0,      0.04,      0.03,      0.00
       232,    283178,        50,         0,       941,         0,      0.04,      0.04,      0.00
       233,    283176,        47,         5,      1494,       320,      0.12,      0.03,      0.08
       234,    283178,        50,         0,        96,         0,      0.03,      0.03,      0.00
       235,    283178,        50,         0,       623,         0,      0.04,      0.03,      0.00
       236,    283178,        50,         0,       198,         0,      0.03,      0.03,      0.00
       237,    283177,        49,         2,      1642,       128,      0.05,      0.03,      0.02
       238,    283178,        50,         0,      3573,         0,      0.04,      0.04,      0.00
       239,    283178,        50,         0,       458,         0,      0.04,      0.03,      0.00
       240,    283178,        50,         0,      1310,         0,      0.04,      0.03,      0.00
       241,    283178,        50,         0,       509,         0,      0.04,      0.03,      0.00
       242,    283178,        50,         0,      6006,         0,      0.04,      0.04,      0.00
       243,    283176,        31,        21,      3927,      1408,      0.19,      0.04,      0.15
       244,    283173,        47,         8,     87023,       960,      0.14,      0.09,      0.04
       245,    283177,        49,         2,       835,       128,      0.05,      0.03,      0.01
       246,    283178,        50,         0,       398,         0,      0.04,      0.03,      0.00
       247,    283178,        50,         0,       428,         0,      0.04,      0.03,      0.00
       248,    283178,        50,         0,      5986,         0,      0.04,      0.04,      0.00
       249,    283178,        50,         0,     22237,         0,      0.05,      0.05,      0.00
       250,    283178,        50,         0,     48152,         0,      0.08,      0.07,      0.00
       251,    283177,        43,         8,      1466,       512,      0.09,      0.03,      0.05
       252,    283178,        50,         0,      8792,         0,      0.04,      0.04,      0.00
       253,    283177,        49,         2,     76214,       128,      0.10,      0.08,      0.01
       254,    283175,        49,         4,      1545,       256,      0.07,      0.04,      0.03
       255,    283178,        50,         0,      3613,         0,      0.04,      0.04,      0.00
       256,    283177,        49,         2,      1025,       128,      0.05,      0.04,      0.01
       257,    283178,        50,         0,      5493,         0,      0.04,      0.04,      0.00
       258,    283177,        49,         2,      2399,       128,      0.05,      0.03,      0.01
       259,    283178,        50,         0,     60254,         0,      0.09,      0.07,      0.00
       260,    283176,        47,         5,      3484,       320,      0.07,      0.04,      0.03
       261,    283178,        50,         0,       279,         0,      0.04,      0.03,      0.00
       262,    283177,        49,         2,       545,       192,      0.05,      0.03,      0.02
       263,    283178,        50,         0,      2385,         0,      0.04,      0.03,      0.00
       264,    283177,        49,         2,       898,       256,      0.05,      0.03,      0.01
       265,    283178,        50,         0,      2187,         0,      0.04,      0.03,      0.00
       266,    283178,        50,         0,       331,         0,      0.04,      0.03,      0.00
       267,    283178,        50,         0,       415,         0,      0.04,      0.03,      0.00
       268,    283178,        50,         0,       418,         0,      0.04,      0.03,      0.00
       269,    283177,        48,         3,      1063,       192,      0.06,      0.03,      0.02
       270,    283178,        50,         0,       198,         0,      0.04,      0.03,      0.00
       271,    283177,        49,         2,      2988,       128,      0.05,      0.03,      0.02
       272,    283178,        50,         0,       962,         0,      0.04,      0.03,      0.00
       273,    283178,        50,         0,       183,         0,      0.03,      0.03,      0.00
       274,    283178,        50,         0,       371,         0,      0.04,      0.03,      0.00
       275,    283178,        50,         0,      3133,         0,      0.04,      0.03,      0.00
       276,    283178,        50,         0,       359,         0,      0.03,      0.03,      0.00
       277,    283177,        49,         2,       674,       128,      0.04,      0.03,      0.01
       278,    283178,        50,         0,     37807,         0,      0.07,      0.06,      0.00
       279,    283178,        50,         0,      1534,         0,      0.04,      0.03,      0.00
       280,    283178,        50,         0,       306,         0,      0.04,      0.03,      0.00
       281,    283178,        50,         0,       457,         0,      0.04,      0.04,      0.00
       282,    283177,        48,         3,      9587,       192,      0.06,      0.04,      0.01
       283,    283177,        49,         2,     11230,       128,      0.06,      0.04,      0.02
       284,    283177,        49,         2,       444,       128,      0.05,      0.04,      0.01
       285,    283177,        49,         2,       735,       128,      0.06,      0.04,      0.02
       286,    283178,        50,         0,       315,         0,      0.04,      0.03,      0.00
       287,    283178,        50,         0,       271,         0,      0.04,      0.03,      0.00
       288,    283178,        50,         0,       623,         0,      0.04,      0.03,      0.00
       289,    283178,        50,         0,      4080,         0,      0.04,      0.04,      0.00
       290,    283178,        50,         0,       989,         0,      0.04,      0.03,      0.00
       291,    283176,        47,         5,      8492,       320,      0.08,      0.04,      0.04
       292,    283178,        50,         0,      7243,         0,      0.04,      0.04,      0.00
       293,    283178,        50,         0,       529,         0,      0.04,      0.03,      0.00
       294,    283178,        50,         0,      4222,         0,      0.04,      0.04,      0.00
       295,    283178,        50,         0,       490,         0,      0.04,      0.04,      0.00
       296,    283178,        50,         0,      1055,         0,      0.03,      0.03,      0.00
       297,    283178,        50,         0,      1006,         0,      0.04,      0.03,      0.00
       298,    283176,        49,         3,      1818,       192,      0.05,      0.03,      0.02
       299,    283178,        50,         0,        94,         0,      0.03,      0.03,      0.00
       300,    283177,        45,         6,    283228,      1472,      0.23,      0.17,      0.03
       301,    283177,        48,         3,      1375,       192,      0.05,      0.03,      0.01
       302,    283175,        47,         6,     15716,       384,      0.08,      0.04,      0.03
       303,    283176,        49,         3,       714,       192,      0.05,      0.04,      0.02
       304,    283178,        50,         0,       459,         0,      0.04,      0.03,      0.00
       305,    283178,        50,         0,       506,         0,      0.04,      0.03,      0.00
       306,    283176,        44,         8,      1468,       576,      0.08,      0.03,      0.04
       307,    283177,        49,         2,      1146,       128,      0.05,      0.04,      0.01
       308,    283177,        49,         2,      8001,       128,      0.06,      0.04,      0.02
       309,    283178,        50,         0,     22392,         0,      0.06,      0.05,      0.00
       310,    283178,        50,         0,      1052,         0,      0.04,      0.03,      0.00
       311,    283177,        49,         2,      2010,       128,      0.06,      0.03,      0.02
       312,    283178,        50,         0,      1455,         0,      0.04,      0.03,      0.00
       313,    283178,        50,         0,       499,         0,      0.04,      0.03,      0.00
       314,    283178,        50,         0,       786,         0,      0.04,      0.03,      0.00
       315,    283177,        48,         3,     17500,       192,      0.06,      0.04,      0.01
       316,    283178,        50,         0,      3411,         0,      0.04,      0.04,      0.00
       317,    283173,        49,         6,       759,       384,      0.06,      0.03,      0.03
       318,    283178,        50,         0,       976,         0,      0.04,      0.04,      0.00
       319,    283178,        50,         0,      3136,         0,      0.04,      0.04,      0.00
       320,    283178,        50,         0,       701,         0,      0.04,      0.03,      0.00
       321,    283176,        48,         4,    114546,       640,      0.15,      0.10,      0.03
       322,    283178,        50,         0,      7803,         0,      0.04,      0.04,      0.00
       323,    283177,        49,         2,       238,       128,      0.04,      0.03,      0.01
       324,    283178,        50,         0,       557,         0,      0.04,      0.03,      0.00
       325,    283160,        44,        24,     51054,      1536,      0.21,      0.07,      0.14
       326,    283178,        50,         0,       429,         0,      0.04,      0.03,      0.00
       327,    283178,        50,         0,       440,         0,      0.04,      0.04,      0.00
       328,    283178,        50,         0,       471,         0,      0.04,      0.04,      0.00
       329,    283178,        50,         0,      1283,         0,      0.04,      0.03,      0.00
       330,    283177,        49,         2,       385,       128,      0.05,      0.03,      0.01
       331,    283178,        50,         0,       364,         0,      0.04,      0.04,      0.00
       332,    283175,        49,         4,      6836,       256,      0.06,      0.04,      0.02
       333,    283178,        50,         0,       617,         0,      0.04,      0.04,      0.00
       334,    283178,        50,         0,       298,         0,      0.04,      0.03,      0.00
       335,    283176,        49,         3,      1596,       192,      0.06,      0.03,      0.03
       336,    283178,        50,         0,      1171,         0,      0.04,      0.03,      0.00
       337,    283177,        48,         3,      1921,       192,      0.06,      0.03,      0.02
       338,    283177,        49,         2,       191,       128,      0.05,      0.03,      0.02
       339,    283177,        49,         2,      1661,       128,      0.05,      0.04,      0.02
       340,    283178,        50,         0,       190,         0,      0.04,      0.03,      0.00
       341,    283178,        50,         0,       567,         0,      0.03,      0.03,      0.00
       342,    283176,        47,         5,       836,       320,      0.08,      0.03,      0.04
       343,    283178,        50,         0,       262,         0,      0.03,      0.03,      0.00
       344,    283178,        50,         0,      1469,         0,      0.04,      0.03,      0.00
       345,    283178,        50,         0,       181,         0,      0.03,      0.03,      0.00
       346,    283178,        50,         0,      1244,         0,      0.04,      0.03,      0.00
       347,    283178,        50,         0,        85,         0,      0.03,      0.03,      0.00
       348,    283178,        50,         0,       854,         0,      0.04,      0.03,      0.00
       349,    283177,        49,         2,     64492,       128,      0.10,      0.07,      0.02
       350,    283176,        49,         3,       853,       192,      0.06,      0.04,      0.02
       351,    283178,        50,         0,       495,         0,      0.04,      0.03,      0.00
       352,    283176,        48,         4,       438,       256,      0.07,      0.03,      0.03
       353,    283177,        48,         3,      9780,       192,      0.06,      0.04,      0.02
       354,    283177,        49,         2,       166,       128,      0.05,      0.03,      0.01
       355,    283178,        50,         0,      7001,         0,      0.04,      0.04,      0.00
       356,    283178,        50,         0,      1130,         0,      0.04,      0.03,      0.00
       357,    283178,        50,         0,     13931,         0,      0.05,      0.04,      0.00
       358,    283178,        50,         0,      2992,         0,      0.04,      0.04,      0.00
       359,    283178,        50,         0,       203,         0,      0.03,      0.03,      0.00
       360,    283178,        50,         0,       686,         0,      0.04,      0.04,      0.00
       361,    283178,        50,         0,       155,         0,      0.04,      0.03,      0.00
       362,    283178,        50,         0,       220,         0,      0.03,      0.03,      0.00
       363,    283178,        50,         0,     14884,         0,      0.04,      0.04,      0.00
       364,    283175,        47,         6,      6815,       448,      0.09,      0.04,      0.05
       365,    283178,        50,         0,       760,         0,      0.04,      0.04,      0.00
       366,    283178,        50,         0,       647,         0,      0.04,      0.04,      0.00
       367,    283178,        50,         0,     11482,         0,      0.05,      0.04,      0.00
       368,    283178,        50,         0,       200,         0,      0.03,      0.03,      0.00
       369,    283176,        47,         5,      9429,       320,      0.08,      0.04,      0.03
       370,    283178,        50,         0,       217,         0,      0.04,      0.03,      0.00
       371,    283177,        49,         2,      3683,       128,      0.05,      0.04,      0.01
       372,    283177,        49,         2,      6178,       192,      0.05,      0.04,      0.01
       373,    283178,        50,         0,      2940,         0,      0.04,      0.03,      0.00
       374,    283178,        50,         0,      2460,         0,      0.04,      0.04,      0.00
       375,    283178,        50,         0,      1026,         0,      0.04,      0.04,      0.00
       376,    283178,        50,         0,      3459,         0,      0.04,      0.04,      0.00
       377,    283178,        50,         0,      3434,         0,      0.04,      0.04,      0.00
       378,    283178,        50,         0,      1738,         0,      0.04,      0.03,      0.00
       379,    283178,        50,         0,      7654,         0,      0.04,      0.04,      0.00
       380,    283178,        50,         0,     10182,         0,      0.04,      0.04,      0.00
       381,    283178,        50,         0,       881,         0,      0.03,      0.03,      0.00
       382,    283177,        48,         3,      1108,       192,      0.05,      0.03,      0.02
       383,    283178,        50,         0,       231,         0,      0.03,      0.03,      0.00
       384,    283177,        47,         4,      2803,       256,      0.06,      0.03,      0.02
       385,    283178,        50,         0,      1329,         0,      0.04,      0.04,      0.00
       386,    283178,        50,         0,       161,         0,      0.03,      0.03,      0.00
       387,    283178,        50,         0,       324,         0,      0.04,      0.03,      0.00
       388,    283175,        49,         4,      2725,       256,      0.07,      0.04,      0.03
       389,    283173,        42,        13,      3504,       832,      0.13,      0.04,      0.08
       390,    283178,        50,         0,       789,         0,      0.04,      0.03,      0.00
       391,    283178,        50,         0,       180,         0,      0.04,      0.03,      0.00
       392,    283178,        50,         0,      2005,         0,      0.04,      0.03,      0.00
       393,    283178,        50,         0,       326,         0,      0.04,      0.04,      0.00
       394,    283178,        50,         0,      4895,         0,      0.04,      0.04,      0.00
       395,    283148,        40,        40,      5291,      2560,      0.28,      0.04,      0.24
       396,    283178,        50,         0,       780,         0,      0.04,      0.04,      0.00
       397,    283178,        50,         0,      1559,         0,      0.04,      0.04,      0.00
       398,    283178,        50,         0,       598,         0,      0.04,      0.03,      0.00
       399,    283175,        48,         5,      8272,       320,      0.08,      0.04,      0.04
       400,    283178,        50,         0,       720,         0,      0.04,      0.03,      0.00
