queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   2188767,       348,       342,    350208,         0,      2.80,      0.64,      2.16,      0.00
         1,   2188522,       359,       576,    588800,         0,      4.21,      0.62,      3.58,      0.00
         2,   2188742,       568,       147,    150016,         0,      1.64,      0.61,      1.03,      0.00
         3,   2188752,       460,       245,    250368,         0,      2.23,      0.64,      1.59,      0.00
         4,   2188258,         0,      1199,   1223168,         0,      8.60,      0.65,      7.94,      0.00
         5,   2188515,       328,       614,    624640,         0,      4.82,      0.63,      4.19,      0.00
         6,   2187688,         0,      1769,   1807360,         0,     12.34,      0.65,     11.69,      0.00
         7,   2188855,       471,       131,    134144,         0,      1.58,      0.61,      0.97,      0.00
         8,   2188625,       539,       293,    299520,         0,      2.53,      0.61,      1.91,      0.00
         9,   2188699,       386,       372,    380416,         0,      3.13,      0.63,      2.49,      0.00
        10,   2188431,       534,       492,    502272,         0,      3.87,      0.61,      3.25,      0.00
        11,   2188766,       525,       166,    169984,         0,      1.68,      0.59,      1.09,      0.00
        12,   2188818,       557,        82,     83968,         0,      1.20,      0.61,      0.59,      0.00
        13,   2188800,       426,       231,    236032,         0,      2.23,      0.64,      1.59,      0.00
        14,   2188680,       262,       515,    525824,         0,      3.97,      0.66,      3.31,      0.00
        15,   2188787,       473,       197,    201728,         0,      2.00,      0.62,      1.37,      0.00
        16,   2188844,       572,        41,     41984,         0,      0.84,      0.54,      0.29,      0.00
        17,   2187075,         0,      2382,   2432000,         0,     16.10,      0.61,     15.49,      0.00
        18,   2188790,       582,        85,     87040,         0,      1.14,      0.59,      0.55,      0.00
        19,   2187106,         0,      2351,   2397184,         0,     16.20,      0.62,     15.57,      0.00
        20,   2188847,       584,        26,     26624,         0,      0.72,      0.53,      0.19,      0.00
        21,   2188840,       580,        37,     37888,         0,      0.82,      0.57,      0.24,      0.00
        22,   2181485,         0,      7972,   8140800,         0,     51.66,      0.60,     51.03,      0.00
        23,   2188505,       365,       587,    600576,         0,      4.43,      0.60,      3.82,      0.00
        24,   2188847,       583,        27,     27136,         0,      0.77,      0.57,      0.20,      0.00
        25,   2188681,       599,       177,    180736,         0,      1.86,      0.61,      1.25,      0.00
        26,   2188827,       441,       189,    192000,         0,      1.91,      0.65,      1.26,      0.00
        27,   2188823,       596,        38,     38912,         0,      0.84,      0.56,      0.28,      0.00
        28,   2188832,       555,        70,     71680,         0,      1.12,      0.62,      0.49,      0.00
        29,   2188237,       491,       729,    743936,         0,      5.47,      0.62,      4.84,      0.00
        30,   2188618,       381,       458,    466944,         0,      3.70,      0.63,      3.07,      0.00
        31,   2188824,       515,       118,    119808,         0,      1.48,      0.63,      0.85,      0.00
        32,   2188820,       598,        39,     39424,         0,      0.90,      0.60,      0.30,      0.00
        33,   2188781,       578,        98,    100352,         0,      1.29,      0.61,      0.68,      0.00
        34,   2188633,       226,       598,    611840,         0,      4.54,      0.57,      3.97,      0.00
        35,   2188515,         0,       942,    962048,         0,      7.03,      0.65,      6.37,      0.00
        36,   2188830,       578,        49,     50176,         0,      0.89,      0.57,      0.31,      0.00
        37,   2188854,       589,        14,     14336,         0,      0.66,      0.57,      0.09,      0.00
        38,   2188646,       317,       494,    505344,         0,      3.92,      0.64,      3.27,      0.00
        39,   2188577,       495,       385,    393216,         0,      3.25,      0.58,      2.67,      0.00
        40,   2187417,       318,      1722,   1760768,         0,     12.03,      0.65,     11.37,      0.00
        41,   2188774,       482,       201,    204288,         0,      2.01,      0.60,      1.41,      0.00
        42,   2187953,       216,      1288,   1315328,         0,      8.83,      0.57,      8.25,      0.00
        43,   2188760,       542,       155,    157696,         0,      1.66,      0.59,      1.06,      0.00
        44,   2188779,       541,       137,    140288,         0,      1.54,      0.57,      0.97,      0.00
        45,   2188214,       351,       892,    911872,         0,      6.81,      0.64,      6.16,      0.00
        46,   2188835,       342,       280,    286208,         0,      2.59,      0.60,      1.99,      0.00
        47,   2187904,       550,      1003,   1025024,         0,      7.31,      0.58,      6.72,      0.00
        48,   2187045,       527,      1885,   1927680,         0,     13.01,      0.63,     12.37,      0.00
        49,   2188804,       595,        58,     59392,         0,      0.99,      0.60,      0.38,      0.00
        50,   2188502,         0,       955,    974848,         0,      6.86,      0.63,      6.22,      0.00
        51,   2188270,         0,      1187,   1213440,         0,      8.40,      0.64,      7.75,      0.00
        52,   2188299,         0,      1158,   1180672,         0,      8.16,      0.61,      7.55,      0.00
        53,   2187309,         0,      2148,   2192384,         0,     14.87,      0.65,     14.21,      0.00
        54,   2187494,       465,      1498,   1531392,         0,     10.62,      0.59,     10.02,      0.00
        55,   2187039,         0,      2418,   2464256,         0,     16.98,      0.57,     16.40,      0.00
        56,   2187238,       525,      1694,   1731072,         0,     12.04,      0.59,     11.44,      0.00
        57,   2188841,       350,       266,    271872,         0,      2.30,      0.59,      1.70,      0.00
        58,   2188841,       536,        80,     81920,         0,      1.18,      0.61,      0.57,      0.00
        59,   2188838,       215,       404,    412672,         0,      3.22,      0.59,      2.62,      0.00
        60,   2188839,       542,        76,     77824,         0,      1.16,      0.62,      0.53,      0.00
        61,   2188841,       589,        27,     27648,         0,      0.80,      0.59,      0.21,      0.00
        62,   2188854,       575,        28,     28672,         0,      0.76,      0.55,      0.21,      0.00
        63,   2188712,       571,       174,    178176,         0,      1.77,      0.59,      1.17,      0.00
        64,   2188279,       487,       691,    707584,         0,      5.06,      0.61,      4.45,      0.00
        65,   2188832,       589,        36,     36864,         0,      0.78,      0.51,      0.28,      0.00
        66,   2187846,         0,      1611,   1641472,         0,     11.13,      0.66,     10.46,      0.00
        67,   2182840,         0,      6617,   6751744,         0,     43.70,      0.63,     43.05,      0.00
