queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   1822560,       576,        43,     36864,         0,      0.75,      0.42,      0.33,      0.00
         1,   1822509,       593,        77,     39424,         0,      1.14,      0.50,      0.64,      0.00
         2,   1822537,       599,        43,     22016,         0,      0.82,      0.48,      0.34,      0.00
         3,   1822531,       582,        66,     50176,         0,      0.87,      0.41,      0.46,      0.00
         4,   1822578,       570,        31,     16384,         0,      0.72,      0.46,      0.26,      0.00
         5,   1822536,       598,        45,     24064,         0,      0.83,      0.44,      0.39,      0.00
         6,   1822522,       577,        80,     43520,         0,      1.09,      0.46,      0.63,      0.00
         7,   1822572,       570,        37,     21504,         0,      0.77,      0.44,      0.33,      0.00
         8,   1822572,       525,        82,     43008,         0,      1.16,      0.48,      0.67,      0.00
         9,   1822406,       504,       269,    137728,         0,      2.38,      0.49,      1.88,      0.00
        10,   1822575,       558,        46,     23552,         0,      0.85,      0.49,      0.36,      0.00
        11,   1822534,       542,       103,     52736,         0,      1.28,      0.50,      0.78,      0.00
        12,   1822565,       543,        71,     55808,         0,      0.98,      0.43,      0.55,      0.00
        13,   1822515,       599,        65,     33280,         0,      0.97,      0.49,      0.48,      0.00
        14,   1822572,       559,        48,     24576,         0,      0.82,      0.47,      0.34,      0.00
        15,   1822539,       590,        50,     25600,         0,      0.89,      0.46,      0.42,      0.00
        16,   1822554,       588,        37,     22016,         0,      0.74,      0.43,      0.31,      0.00
        17,   1822555,       533,        91,     47104,         0,      1.13,      0.47,      0.65,      0.00
        18,   1822570,       568,        41,     27136,         0,      0.70,      0.41,      0.29,      0.00
        19,   1822563,       556,        60,     33792,         0,      0.87,      0.45,      0.41,      0.00
        20,   1822579,       549,        51,     28160,         0,      0.82,      0.45,      0.37,      0.00
        21,   1822569,       585,        25,     12800,         0,      0.66,      0.44,      0.21,      0.00
        22,   1822534,       599,        46,     25088,         0,      0.82,      0.46,      0.36,      0.00
        23,   1822564,       516,        99,     51712,         0,      1.25,      0.49,      0.76,      0.00
