queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,    466943,         0,     13246,  13479936,         0,     67.77,      0.10,     67.64,      0.00
         1,    479988,       147,        54,     55296,         0,      0.41,      0.10,      0.31,      0.00
         2,    479280,       186,       723,    737280,         0,      4.20,      0.10,      4.10,      0.00
         3,    479737,       196,       256,    261120,         0,      1.67,      0.10,      1.57,      0.00
         4,    479942,       173,        74,     75776,         0,      0.56,      0.10,      0.47,      0.00
         5,    473815,         0,      6374,   6484992,         0,     34.75,      0.10,     34.64,      0.00
         6,    227669,         0,    252520, 257056768,         0,    589.38,      0.11,    588.91,      0.00
         7,    479926,        85,       178,    182272,         0,      1.17,      0.09,      1.08,      0.00
         8,    479974,        66,       149,    151552,         0,      1.01,      0.10,      0.91,      0.00
         9,    479946,       179,        64,     65024,         0,      0.49,      0.10,      0.39,      0.00
        10,    479705,        69,       415,    422912,         0,      2.64,      0.10,      2.54,      0.00
        11,    479838,       150,       201,    205824,         0,      1.25,      0.09,      1.15,      0.00
        12,    479268,        49,       872,    890880,         0,      5.40,      0.09,      5.30,      0.00
        13,    479248,         9,       932,    951296,         0,      5.57,      0.10,      5.46,      0.00
        14,    456809,         0,     23380,  23804416,         0,    122.95,      0.11,    122.80,      0.00
        15,    479922,       174,        93,     95232,         0,      0.68,      0.10,      0.58,      0.00
        16,    479689,        51,       449,    456704,         0,      2.92,      0.10,      2.82,      0.00
        17,    470458,         0,      9731,   9910784,         0,     52.56,      0.10,     52.44,      0.00
        18,    478784,         0,      1405,   1426432,         0,      8.41,      0.10,      8.30,      0.00
        19,    477831,         0,      2358,   2398720,         0,     13.20,      0.11,     13.08,      0.00
        20,    473624,         0,      6565,   6683136,         0,     35.59,      0.11,     35.48,      0.00
        21,    479987,        94,       108,    110080,         0,      0.79,      0.10,      0.69,      0.00
        22,    470887,         0,      9302,   9468416,         0,     49.34,      0.10,     49.22,      0.00
        23,    479917,       197,        75,     76800,         0,      0.61,      0.10,      0.51,      0.00
        24,    479571,       186,       432,    440832,         0,      2.65,      0.10,      2.55,      0.00
        25,    479896,         0,       293,    297984,         0,      2.04,      0.10,      1.93,      0.00
        26,    468298,         0,     11891,  12107776,         0,     63.05,      0.10,     62.92,      0.00
        27,    479836,       179,       174,    176128,         0,      1.22,      0.10,      1.12,      0.00
        28,    479868,        81,       240,    244736,         0,      1.65,      0.10,      1.55,      0.00
        29,    479960,        63,       166,    169984,         0,      1.19,      0.09,      1.09,      0.00
        30,    478711,       196,      1282,   1307648,         0,      7.47,      0.10,      7.36,      0.00
        31,    479955,        75,       159,    161792,         0,      1.12,      0.10,      1.01,      0.00
        32,    479985,       103,       101,    102912,         0,      0.69,      0.10,      0.59,      0.00
        33,    479985,       110,        94,     96256,         0,      0.68,      0.10,      0.58,      0.00
        34,    459965,         0,     20224,  20584448,         0,    106.91,      0.10,    106.77,      0.00
        35,    479930,       171,        88,     90112,         0,      0.71,      0.10,      0.61,      0.00
        36,    479132,       115,       942,    960512,         0,      5.48,      0.10,      5.37,      0.00
        37,    479871,        64,       254,    259584,         0,      1.68,      0.11,      1.58,      0.00
        38,    318581,         0,    161608, 164516864,         0,    516.33,      0.10,    515.96,      0.00
        39,    478193,       179,      1817,   1854464,         0,     10.68,      0.10,     10.58,      0.00
        40,    479504,       121,       564,    576000,         0,      3.64,      0.10,      3.54,      0.00
        41,    479985,       131,        73,     74240,         0,      0.51,      0.10,      0.41,      0.00
        42,    479622,       166,       401,    408064,         0,      2.65,      0.10,      2.55,      0.00
        43,    479902,       125,       162,    165888,         0,      1.21,      0.10,      1.11,      0.00
        44,    479895,       146,       148,    150016,         0,      1.03,      0.09,      0.94,      0.00
