queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,    277442,         0,      5786,   5894144,         0,     32.22,      0.06,     32.15,      0.00
         1,    283149,        21,        58,     58880,         0,      0.44,      0.07,      0.37,      0.00
         2,    283179,        26,        23,     23552,         0,      0.20,      0.07,      0.13,      0.00
         3,    282989,        11,       228,    232448,         0,      1.60,      0.06,      1.53,      0.00
         4,    283075,         0,       153,    156672,         0,      1.02,      0.07,      0.94,      0.00
         5,    283156,        28,        44,     44544,         0,      0.33,      0.09,      0.24,      0.00
         6,    283169,         0,        59,     60416,         0,      0.50,      0.07,      0.43,      0.00
         7,    283163,         1,        64,     65536,         0,      0.50,      0.08,      0.42,      0.00
         8,    283098,         0,       130,    130048,         0,      1.04,      0.08,      0.96,      0.00
         9,    283028,        11,       189,    193024,         0,      1.30,      0.07,      1.23,      0.00
        10,    283167,         0,        61,     62464,         0,      0.46,      0.08,      0.38,      0.00
        11,    283191,        24,        13,     13312,         0,      0.16,      0.07,      0.09,      0.00
        12,    282064,        10,      1154,   1177600,         0,      7.25,      0.07,      7.18,      0.00
        13,    283178,        16,        34,     34816,         0,      0.34,      0.07,      0.26,      0.00
        14,    282877,         4,       347,    353280,         0,      2.36,      0.07,      2.29,      0.00
        15,    283024,        14,       190,    193024,         0,      1.29,      0.07,      1.22,      0.00
        16,    283147,         0,        81,     82944,         0,      0.63,      0.07,      0.56,      0.00
        17,    282925,         1,       302,    307712,         0,      1.97,      0.07,      1.90,      0.00
        18,    283190,        21,        17,     17408,         0,      0.18,      0.08,      0.11,      0.00
        19,    283053,        10,       165,    167936,         0,      1.09,      0.08,      1.01,      0.00
        20,    283107,         3,       118,    119296,         0,      0.73,      0.08,      0.65,      0.00
        21,    283186,        28,        14,     14336,         0,      0.19,      0.08,      0.11,      0.00
        22,    283152,         5,        71,     72704,         0,      0.52,      0.08,      0.44,      0.00
        23,    283056,         0,       172,    175616,         0,      1.17,      0.07,      1.10,      0.00
        24,    282649,         8,       571,    581632,         0,      3.84,      0.07,      3.77,      0.00
        25,    283183,         2,        43,     44032,         0,      0.37,      0.07,      0.30,      0.00
        26,    283181,        19,        28,     28672,         0,      0.28,      0.07,      0.20,      0.00
        27,    283152,        25,        51,     52224,         0,      0.40,      0.07,      0.32,      0.00
        28,    283028,         0,       200,    203264,         0,      1.29,      0.08,      1.22,      0.00
        29,    283192,         8,        28,     27648,         0,      0.26,      0.07,      0.19,      0.00
        30,    274212,         0,      9016,   9180160,         0,     50.07,      0.08,     49.98,      0.00
        31,    282965,         0,       263,    268288,         0,      1.88,      0.08,      1.80,      0.00
        32,    283190,         9,        29,     29184,         0,      0.28,      0.07,      0.21,      0.00
        33,    283164,         1,        63,     64512,         0,      0.49,      0.07,      0.41,      0.00
        34,    283190,         0,        38,     38912,         0,      0.31,      0.07,      0.24,      0.00
        35,    283151,         0,        77,     78848,         0,      0.57,      0.07,      0.50,      0.00
        36,    283194,         5,        29,     28672,         0,      0.24,      0.07,      0.17,      0.00
        37,    283194,        24,        10,     10240,         0,      0.13,      0.07,      0.06,      0.00
        38,    283195,        26,         7,      7168,         0,      0.11,      0.07,      0.04,      0.00
        39,    283191,        19,        18,     18432,         0,      0.20,      0.06,      0.14,      0.00
        40,    282934,        17,       277,    282112,         0,      1.94,      0.06,      1.88,      0.00
        41,    283142,         7,        79,     80896,         0,      0.61,      0.08,      0.53,      0.00
        42,    283174,        10,        44,     45056,         0,      0.38,      0.07,      0.31,      0.00
        43,    283169,        29,        30,     30208,         0,      0.27,      0.07,      0.20,      0.00
        44,    283190,         6,        32,     32768,         0,      0.30,      0.07,      0.23,      0.00
        45,    283185,         7,        36,     36864,         0,      0.31,      0.07,      0.24,      0.00
        46,    283115,         4,       109,    111104,         0,      0.74,      0.07,      0.67,      0.00
        47,    283074,         0,       154,    156672,         0,      1.06,      0.08,      0.98,      0.00
        48,    283164,        12,        52,     52736,         0,      0.42,      0.07,      0.34,      0.00
        49,    283198,        24,         6,      6144,         0,      0.11,      0.07,      0.04,      0.00
        50,    282364,        13,       851,    863744,         0,      5.40,      0.06,      5.34,      0.00
        51,    283158,        13,        57,     58368,         0,      0.45,      0.08,      0.38,      0.00
        52,    282858,         3,       367,    374784,         0,      2.52,      0.08,      2.45,      0.00
        53,    283195,        14,        19,     19456,         0,      0.20,      0.07,      0.13,      0.00
        54,    283181,        16,        31,     31232,         0,      0.28,      0.07,      0.21,      0.00
        55,    281218,         0,      2010,   2045952,         0,     12.38,      0.07,     12.31,      0.00
        56,    283190,        24,        14,     13824,         0,      0.17,      0.07,      0.10,      0.00
        57,    283173,        20,        35,     35840,         0,      0.28,      0.07,      0.21,      0.00
        58,    283180,        26,        22,     22528,         0,      0.24,      0.07,      0.17,      0.00
        59,    283171,        18,        39,     39424,         0,      0.35,      0.07,      0.28,      0.00
        60,    283173,         1,        54,     55296,         0,      0.47,      0.07,      0.40,      0.00
        61,    283184,        17,        27,     27648,         0,      0.24,      0.07,      0.17,      0.00
        62,    282494,        28,       706,    718848,         0,      4.72,      0.07,      4.65,      0.00
        63,    283195,        23,        10,     10240,         0,      0.14,      0.07,      0.06,      0.00
        64,    283068,         0,       160,    162304,         0,      1.10,      0.07,      1.03,      0.00
        65,    283180,        23,        25,     25600,         0,      0.24,      0.07,      0.17,      0.00
        66,    283038,         0,       190,    194048,         0,      1.25,      0.06,      1.19,      0.00
        67,    283155,        13,        60,     61440,         0,      0.43,      0.07,      0.36,      0.00
        68,    283196,         0,        32,     32768,         0,      0.26,      0.07,      0.19,      0.00
        69,    283092,         0,       136,    137728,         0,      0.92,      0.07,      0.86,      0.00
        70,    283163,        14,        51,     51200,         0,      0.45,      0.07,      0.38,      0.00
        71,    282947,         1,       280,    286720,         0,      1.79,      0.07,      1.72,      0.00
        72,    283189,         2,        37,     37888,         0,      0.33,      0.07,      0.26,      0.00
        73,    283151,         5,        72,     72704,         0,      0.48,      0.08,      0.40,      0.00
        74,    283189,         0,        39,     39936,         0,      0.32,      0.07,      0.25,      0.00
        75,    283156,        14,        58,     58880,         0,      0.45,      0.07,      0.39,      0.00
        76,    283162,        18,        48,     49152,         0,      0.41,      0.07,      0.34,      0.00
        77,    283108,        26,        94,     94208,         0,      0.65,      0.07,      0.58,      0.00
        78,    283191,        10,        27,     27648,         0,      0.27,      0.07,      0.20,      0.00
        79,    283186,         5,        37,     37888,         0,      0.31,      0.07,      0.24,      0.00
        80,    283128,         4,        96,     96768,         0,      0.68,      0.07,      0.61,      0.00
        81,    283196,        23,         9,      9216,         0,      0.12,      0.07,      0.05,      0.00
        82,    282774,         0,       454,    463872,         0,      3.10,      0.07,      3.03,      0.00
        83,    283194,        13,        21,     21504,         0,      0.19,      0.07,      0.12,      0.00
        84,    283155,         2,        71,     71168,         0,      0.58,      0.07,      0.51,      0.00
        85,    283185,        20,        23,     23040,         0,      0.22,      0.07,      0.14,      0.00
        86,    283152,         5,        71,     72192,         0,      0.56,      0.07,      0.49,      0.00
        87,    283030,        21,       177,    180736,         0,      1.28,      0.07,      1.20,      0.00
        88,    283182,        12,        34,     34304,         0,      0.29,      0.07,      0.22,      0.00
        89,    283186,         4,        38,     38912,         0,      0.32,      0.07,      0.26,      0.00
        90,    283175,         9,        44,     45056,         0,      0.33,      0.07,      0.26,      0.00
        91,    283187,        19,        22,     22528,         0,      0.21,      0.07,      0.14,      0.00
        92,    283191,        23,        14,     14336,         0,      0.16,      0.06,      0.09,      0.00
