queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   1823068,        92,        19,     14336,         0,      0.57,      0.40,      0.17,      0.00
         1,   1823077,        89,        13,      6656,         0,      0.60,      0.50,      0.10,      0.00
         2,   1823075,        96,         8,      4096,         0,      0.54,      0.48,      0.06,      0.00
         3,   1823075,        96,         8,      5120,         0,      0.48,      0.42,      0.07,      0.00
         4,   1823077,        93,         9,      5120,         0,      0.53,      0.45,      0.07,      0.00
         5,   1823064,        99,        16,      8192,         0,      0.60,      0.46,      0.14,      0.00
         6,   1823071,        95,        13,      7168,         0,      0.56,      0.45,      0.11,      0.00
         7,   1823079,        91,         9,      5120,         0,      0.50,      0.44,      0.06,      0.00
         8,   1823065,        96,        18,      9216,         0,      0.62,      0.46,      0.15,      0.00
         9,   1823056,         0,       123,     62976,         0,      1.42,      0.49,      0.93,      0.00
        10,   1823077,        83,        19,      9728,         0,      0.65,      0.48,      0.17,      0.00
        11,   1823074,        81,        24,     12288,         0,      0.70,      0.47,      0.23,      0.00
        12,   1823070,        98,        11,      7168,         0,      0.50,      0.42,      0.08,      0.00
        13,   1823070,        95,        14,      7168,         0,      0.59,      0.47,      0.12,      0.00
        14,   1823061,        96,        22,     11264,         0,      0.65,      0.45,      0.19,      0.00
        15,   1823073,        95,        11,      5632,         0,      0.57,      0.46,      0.10,      0.00
        16,   1823075,        99,         5,      3584,         0,      0.51,      0.44,      0.06,      0.00
        17,   1823069,        70,        40,     21504,         0,      0.79,      0.47,      0.32,      0.00
        18,   1823073,        93,        13,      7168,         0,      0.56,      0.43,      0.13,      0.00
        19,   1823067,        97,        15,      8704,         0,      0.59,      0.45,      0.14,      0.00
        20,   1823067,        99,        13,      7168,         0,      0.57,      0.45,      0.12,      0.00
        21,   1823076,        96,         7,      4096,         0,      0.52,      0.44,      0.08,      0.00
        22,   1823074,        94,        11,      5632,         0,      0.56,      0.46,      0.09,      0.00
        23,   1823055,        90,        34,     17408,         0,      0.75,      0.49,      0.25,      0.00
        24,   1823066,        99,        14,      7168,         0,      0.60,      0.48,      0.12,      0.00
        25,   1823078,        92,         9,      5632,         0,      0.56,      0.47,      0.09,      0.00
        26,   1823079,        94,         6,      5120,         0,      0.47,      0.40,      0.07,      0.00
        27,   1823064,        98,        17,      8704,         0,      0.68,      0.50,      0.18,      0.00
        28,   1823079,        77,        23,     22528,         0,      0.66,      0.45,      0.21,      0.00
        29,   1823070,        99,        10,      5120,         0,      0.58,      0.49,      0.09,      0.00
        30,   1823078,        94,         7,      4096,         0,      0.54,      0.45,      0.08,      0.00
        31,   1823077,        97,         5,      2560,         0,      0.52,      0.46,      0.06,      0.00
        32,   1823075,        99,         5,      2560,         0,      0.50,      0.44,      0.06,      0.00
        33,   1823072,        99,         8,      4608,         0,      0.53,      0.47,      0.06,      0.00
        34,   1823069,        94,        16,     14336,         0,      0.55,      0.41,      0.14,      0.00
        35,   1823066,        92,        21,     10752,         0,      0.67,      0.48,      0.19,      0.00
        36,   1823079,        93,         7,      3584,         0,      0.55,      0.48,      0.06,      0.00
        37,   1823078,        92,         9,      4608,         0,      0.56,      0.47,      0.09,      0.00
        38,   1823076,        93,        10,      5120,         0,      0.60,      0.48,      0.12,      0.00
        39,   1823068,        97,        14,      7168,         0,      0.61,      0.47,      0.14,      0.00
        40,   1823077,        94,         8,      4096,         0,      0.53,      0.44,      0.09,      0.00
        41,   1823077,        99,         3,      1536,         0,      0.47,      0.44,      0.02,      0.00
        42,   1823079,        86,        14,      7168,         0,      0.59,      0.47,      0.11,      0.00
        43,   1823078,        90,        11,      5632,         0,      0.54,      0.45,      0.09,      0.00
        44,   1823076,        93,        10,      8704,         0,      0.49,      0.39,      0.10,      0.00
        45,   1823076,        79,        24,     12800,         0,      0.66,      0.45,      0.20,      0.00
        46,   1823077,        82,        20,     32768,         0,      0.60,      0.39,      0.20,      0.00
        47,   1823079,        83,        17,      8704,         0,      0.63,      0.48,      0.15,      0.00
        48,   1823078,        89,        12,      7680,         0,      0.52,      0.42,      0.09,      0.00
        49,   1823077,        92,        10,      5632,         0,      0.49,      0.41,      0.08,      0.00
        50,   1823077,        94,         8,      4096,         0,      0.56,      0.47,      0.09,      0.00
        51,   1823079,        97,         3,      1536,         0,      0.47,      0.42,      0.05,      0.00
        52,   1823078,        97,         4,      2560,         0,      0.48,      0.42,      0.05,      0.00
        53,   1823074,        95,        10,      5120,         0,      0.57,      0.47,      0.10,      0.00
        54,   1823075,        89,        15,      7680,         0,      0.60,      0.46,      0.14,      0.00
        55,   1823076,        95,         8,      5120,         0,      0.52,      0.44,      0.08,      0.00
        56,   1823076,        90,        13,      7168,         0,      0.59,      0.47,      0.12,      0.00
        57,   1823066,        95,        18,     10240,         0,      0.61,      0.45,      0.17,      0.00
        58,   1823078,        91,        10,      5120,         0,      0.54,      0.44,      0.10,      0.00
        59,   1823066,        98,        15,      7680,         0,      0.57,      0.45,      0.12,      0.00
        60,   1823079,        97,         3,      1536,         0,      0.49,      0.44,      0.05,      0.00
        61,   1823079,        91,         9,      4608,         0,      0.58,      0.49,      0.09,      0.00
        62,   1823071,        99,         9,      5120,         0,      0.55,      0.45,      0.09,      0.00
        63,   1823076,        96,         7,      3584,         0,      0.55,      0.45,      0.09,      0.00
        64,   1823073,        97,         9,      5632,         0,      0.53,      0.43,      0.10,      0.00
        65,   1823075,        97,         7,      3584,         0,      0.52,      0.45,      0.07,      0.00
        66,   1823073,        98,         8,      4096,         0,      0.54,      0.46,      0.07,      0.00
        67,   1823050,        76,        53,     27136,         0,      0.84,      0.46,      0.38,      0.00
        68,   1823065,        90,        24,     12288,         0,      0.72,      0.48,      0.23,      0.00
        69,   1823079,        95,         5,      2560,         0,      0.50,      0.44,      0.06,      0.00
        70,   1823076,        96,         7,      3584,         0,      0.53,      0.45,      0.07,      0.00
        71,   1823077,        94,         8,      4096,         0,      0.53,      0.45,      0.08,      0.00
        72,   1823071,        94,        14,      7168,         0,      0.60,      0.47,      0.13,      0.00
        73,   1823078,        93,         8,      5632,         0,      0.51,      0.44,      0.08,      0.00
        74,   1823063,        98,        18,      9216,         0,      0.64,      0.49,      0.15,      0.00
        75,   1823077,        96,         6,      3072,         0,      0.51,      0.46,      0.05,      0.00
        76,   1823066,        98,        15,      7680,         0,      0.59,      0.46,      0.13,      0.00
        77,   1823071,        99,         9,      4608,         0,      0.59,      0.47,      0.12,      0.00
        78,   1823075,        97,         7,      3584,         0,      0.54,      0.45,      0.08,      0.00
        79,   1823072,        98,         9,      4608,         0,      0.54,      0.44,      0.10,      0.00
        80,   1823072,        90,        17,      8704,         0,      0.62,      0.47,      0.14,      0.00
        81,   1823073,        95,        11,      5632,         0,      0.56,      0.46,      0.10,      0.00
        82,   1823077,        93,         9,      5120,         0,      0.56,      0.47,      0.09,      0.00
        83,   1823076,        95,         8,      4096,         0,      0.53,      0.46,      0.07,      0.00
        84,   1823075,        89,        15,      9728,         0,      0.54,      0.40,      0.14,      0.00
        85,   1823079,        96,         4,      3072,         0,      0.46,      0.42,      0.03,      0.00
        86,   1823078,        96,         5,      2560,         0,      0.48,      0.43,      0.05,      0.00
        87,   1823078,        91,        10,      5120,         0,      0.55,      0.46,      0.09,      0.00
        88,   1823072,        98,         9,      5632,         0,      0.51,      0.42,      0.09,      0.00
        89,   1823071,        98,        10,      7680,         0,      0.54,      0.44,      0.10,      0.00
        90,   1823070,        99,        10,      5120,         0,      0.56,      0.46,      0.10,      0.00
        91,   1823066,        97,        16,      9216,         0,      0.60,      0.46,      0.14,      0.00
        92,   1823072,        82,        25,     20480,         0,      0.67,      0.45,      0.22,      0.00
        93,   1823073,        88,        18,     12800,         0,      0.59,      0.41,      0.18,      0.00
        94,   1823078,        87,        14,      9216,         0,      0.52,      0.41,      0.11,      0.00
        95,   1822731,         0,       448,    229376,         0,      3.42,      0.47,      2.95,      0.00
        96,   1823075,        85,        19,      9728,         0,      0.67,      0.49,      0.18,      0.00
        97,   1823077,        95,         7,      3584,         0,      0.52,      0.47,      0.05,      0.00
        98,   1823069,        82,        28,     14848,         0,      0.69,      0.47,      0.22,      0.00
        99,   1823077,        93,         9,      5632,         0,      0.52,      0.41,      0.11,      0.00
