queryID,n_prune_user,n_result_user,n_refine_user,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,   2189359,         0,        98,     99840,         0,      1.24,      0.59,      0.64,      0.00
         1,   2189098,         0,       359,    365568,         0,      3.01,      0.62,      2.39,      0.00
         2,   2189354,        29,        74,     75776,         0,      1.12,      0.61,      0.51,      0.00
         3,   2189351,        22,        84,     86016,         0,      1.30,      0.67,      0.62,      0.00
         4,   2188258,         0,      1199,   1223168,         0,      8.65,      0.63,      8.01,      0.00
         5,   2189129,         0,       328,    333824,         0,      2.78,      0.60,      2.17,      0.00
         6,   2187688,         0,      1769,   1807360,         0,     12.34,      0.64,     11.70,      0.00
         7,   2189403,        25,        29,     29696,         0,      0.82,      0.61,      0.21,      0.00
         8,   2189368,         0,        89,     91136,         0,      1.18,      0.59,      0.59,      0.00
         9,   2189338,         0,       119,    121856,         0,      1.36,      0.62,      0.74,      0.00
        10,   2189264,         0,       193,    197120,         0,      1.83,      0.61,      1.22,      0.00
        11,   2189424,         0,        33,     33792,         0,      0.84,      0.61,      0.23,      0.00
        12,   2189415,        25,        17,     17408,         0,      0.75,      0.60,      0.14,      0.00
        13,   2189403,         8,        46,     46592,         0,      0.96,      0.63,      0.33,      0.00
        14,   2189195,         0,       262,    266240,         0,      2.48,      0.65,      1.82,      0.00
        15,   2189398,         0,        59,     59904,         0,      1.00,      0.58,      0.41,      0.00
        16,   2189427,        28,         2,      2048,         0,      0.55,      0.52,      0.03,      0.00
        17,   2187075,         0,      2382,   2432000,         0,     16.05,      0.61,     15.44,      0.00
        18,   2189421,        19,        17,     17408,         0,      0.73,      0.60,      0.13,      0.00
        19,   2187106,         0,      2351,   2397184,         0,     16.22,      0.65,     15.56,      0.00
        20,   2189426,        29,         2,      2048,         0,      0.55,      0.53,      0.01,      0.00
        21,   2189420,        27,        10,     10240,         0,      0.65,      0.57,      0.07,      0.00
        22,   2181485,         0,      7972,   8140800,         0,     51.66,      0.58,     51.06,      0.00
        23,   2189376,         0,        81,     82432,         0,      1.16,      0.61,      0.55,      0.00
        24,   2189427,        29,         1,      1024,         0,      0.61,      0.60,      0.01,      0.00
        25,   2189424,         5,        28,     28672,         0,      0.83,      0.62,      0.21,      0.00
        26,   2189382,        20,        55,     55296,         0,      1.04,      0.64,      0.40,      0.00
        27,   2189427,        27,         3,      3072,         0,      0.60,      0.57,      0.03,      0.00
        28,   2189412,        27,        18,     18432,         0,      0.77,      0.62,      0.15,      0.00
        29,   2189339,         0,       118,    120832,         0,      1.45,      0.62,      0.82,      0.00
        30,   2189384,         0,        73,     74752,         0,      1.16,      0.64,      0.51,      0.00
        31,   2189406,        18,        33,     33280,         0,      0.88,      0.63,      0.25,      0.00
        32,   2189427,        26,         4,      4096,         0,      0.62,      0.58,      0.04,      0.00
        33,   2189418,        16,        23,     23040,         0,      0.81,      0.62,      0.19,      0.00
        34,   2189410,         5,        42,     43008,         0,      0.86,      0.56,      0.30,      0.00
        35,   2188515,         0,       942,    962048,         0,      7.02,      0.65,      6.37,      0.00
        36,   2189423,        25,         9,      9216,         0,      0.65,      0.59,      0.06,      0.00
        37,   2189425,        29,         3,      3072,         0,      0.58,      0.55,      0.02,      0.00
        38,   2189140,         0,       317,    324096,         0,      2.85,      0.64,      2.21,      0.00
        39,   2189398,         0,        59,     60416,         0,      1.03,      0.61,      0.42,      0.00
        40,   2189139,         1,       317,    322048,         0,      2.84,      0.67,      2.17,      0.00
        41,   2189425,         8,        24,     24064,         0,      0.76,      0.60,      0.17,      0.00
        42,   2189241,         0,       216,    220672,         0,      1.92,      0.58,      1.34,      0.00
        43,   2189399,         0,        58,     59392,         0,      1.02,      0.60,      0.41,      0.00
        44,   2189417,        21,        19,     19456,         0,      0.75,      0.60,      0.15,      0.00
        45,   2189106,         0,       351,    357888,         0,      2.96,      0.66,      2.29,      0.00
        46,   2189402,         8,        47,     48128,         0,      1.00,      0.62,      0.37,      0.00
        47,   2189331,         5,       121,    123392,         0,      1.50,      0.60,      0.89,      0.00
        48,   2188930,         0,       527,    538624,         0,      4.05,      0.62,      3.43,      0.00
        49,   2189424,        22,        11,     11264,         0,      0.68,      0.59,      0.08,      0.00
        50,   2188502,         0,       955,    974848,         0,      6.86,      0.63,      6.22,      0.00
        51,   2188270,         0,      1187,   1213440,         0,      8.35,      0.66,      7.68,      0.00
        52,   2188299,         0,      1158,   1180672,         0,      8.08,      0.58,      7.49,      0.00
        53,   2187309,         0,      2148,   2192384,         0,     14.91,      0.65,     14.25,      0.00
        54,   2188992,         0,       465,    474112,         0,      3.79,      0.62,      3.17,      0.00
        55,   2187039,         0,      2418,   2464256,         0,     16.93,      0.60,     16.32,      0.00
        56,   2189418,         0,        39,     39936,         0,      0.89,      0.59,      0.29,      0.00
        57,   2189328,         9,       120,    122368,         0,      1.41,      0.62,      0.79,      0.00
        58,   2189418,        13,        26,     26624,         0,      0.81,      0.62,      0.19,      0.00
        59,   2189242,        25,       190,    194048,         0,      1.93,      0.59,      1.34,      0.00
        60,   2189421,        24,        12,     12288,         0,      0.72,      0.62,      0.10,      0.00
        61,   2189427,        28,         2,      2048,         0,      0.60,      0.58,      0.02,      0.00
        62,   2189427,        29,         1,      1024,         0,      0.55,      0.54,      0.01,      0.00
        63,   2189423,        23,        11,     11264,         0,      0.72,      0.63,      0.09,      0.00
        64,   2188970,         0,       487,    496128,         0,      3.83,      0.64,      3.18,      0.00
        65,   2189427,        29,         1,      1024,         0,      0.54,      0.53,      0.01,      0.00
        66,   2187846,         0,      1611,   1641472,         0,     11.13,      0.66,     10.47,      0.00
        67,   2182840,         0,      6617,   6751744,         0,     43.69,      0.64,     43.03,      0.00
        68,   2189425,        20,        12,     12288,         0,      0.67,      0.56,      0.10,      0.00
        69,   2185803,         0,      3654,   3732480,         0,     24.49,      0.58,     23.90,      0.00
        70,   2189424,         0,        33,     33792,         0,      0.83,      0.61,      0.22,      0.00
        71,   2189315,        16,       126,    128512,         0,      1.43,      0.57,      0.85,      0.00
        72,   2184748,         0,      4709,   4808704,         0,     31.55,      0.66,     30.88,      0.00
        73,   2187788,         0,      1669,   1704960,         0,     11.59,      0.64,     10.94,      0.00
        74,   2189417,         1,        39,     39936,         0,      0.94,      0.66,      0.28,      0.00
        75,   2189408,         8,        41,     41984,         0,      0.91,      0.61,      0.29,      0.00
        76,   2187193,         0,      2264,   2311168,         0,     15.67,      0.63,     15.03,      0.00
        77,   2189414,        27,        16,     15360,         0,      0.75,      0.62,      0.13,      0.00
        78,   2189178,         0,       279,    285696,         0,      2.53,      0.63,      1.90,      0.00
        79,   2189426,        27,         4,      4096,         0,      0.65,      0.61,      0.04,      0.00
        80,   2189408,        29,        20,     20480,         0,      0.82,      0.63,      0.18,      0.00
        81,   2189421,        11,        25,     25600,         0,      0.76,      0.57,      0.19,      0.00
        82,   2188910,         0,       547,    558592,         0,      4.17,      0.61,      3.56,      0.00
        83,   2189422,        24,        11,     11264,         0,      0.72,      0.61,      0.10,      0.00
        84,   2189285,         7,       165,    168448,         0,      1.78,      0.63,      1.15,      0.00
        85,   2189373,         0,        84,     86016,         0,      1.23,      0.65,      0.58,      0.00
        86,   2175928,         0,     13529,  13810176,         0,     85.13,      0.59,     84.50,      0.00
        87,   2181008,         0,      8449,   8630784,         0,     53.90,      0.58,     53.28,      0.00
        88,   2187030,         0,      2427,   2481152,         0,     16.84,      0.63,     16.21,      0.00
        89,   2189421,        14,        22,     22528,         0,      0.80,      0.65,      0.15,      0.00
        90,   2189426,        27,         4,      4096,         0,      0.62,      0.59,      0.04,      0.00
        91,   2189145,         0,       312,    318976,         0,      2.70,      0.61,      2.08,      0.00
        92,   2189151,         0,       306,    312832,         0,      2.72,      0.65,      2.06,      0.00
        93,   2189425,         0,        32,     32768,         0,      0.80,      0.58,      0.22,      0.00
        94,   2189425,        24,         8,      8192,         0,      0.66,      0.58,      0.07,      0.00
        95,   2189419,         2,        36,     36864,         0,      0.84,      0.56,      0.28,      0.00
        96,   2189241,         0,       216,    220672,         0,      2.12,      0.60,      1.52,      0.00
        97,   2189353,         0,       104,    105984,         0,      1.30,      0.59,      0.71,      0.00
        98,   2189417,        17,        23,     23552,         0,      0.83,      0.63,      0.20,      0.00
        99,   2177745,         0,     11712,  11962368,         0,     74.71,      0.66,     74.02,      0.00
