[2022-09-14 01:35:26.982] [info] queryID 62, result_size 202, rtk_topk 256, single_query_time 5.12s
[2022-09-14 01:35:39.204] [info] queryID 63, result_size 36, rtk_topk 1024, single_query_time 12.22s
[2022-09-14 01:43:19.941] [info] queryID 64, result_size 19, rtk_topk 2048, single_query_time 460.74s
[2022-09-14 01:43:23.815] [info] queryID 65, result_size 12, rtk_topk 256, single_query_time 3.87s
[2022-09-14 01:43:28.265] [info] queryID 66, result_size 27, rtk_topk 512, single_query_time 4.45s
[2022-09-14 01:43:34.665] [info] queryID 67, result_size 567, rtk_topk 128, single_query_time 6.40s
[2022-09-14 01:43:39.584] [info] queryID 68, result_size 29, rtk_topk 512, single_query_time 4.92s
[2022-09-14 01:43:41.205] [info] queryID 69, result_size 38, rtk_topk 64, single_query_time 1.62s
[2022-09-14 01:43:41.691] [info] queryID 70, result_size 14, rtk_topk 1, single_query_time 0.49s
[2022-09-14 02:03:40.687] [info] queryID 71, result_size 132, rtk_topk 4096, single_query_time 1199.00s
[2022-09-14 02:03:42.654] [info] queryID 72, result_size 16, rtk_topk 8, single_query_time 1.97s
[2022-09-14 02:04:16.017] [info] queryID 73, result_size 1635, rtk_topk 1024, single_query_time 33.36s
[2022-09-14 02:24:13.823] [info] queryID 74, result_size 610, rtk_topk 4096, single_query_time 1197.81s
[2022-09-14 02:24:25.530] [info] queryID 75, result_size 114, rtk_topk 1024, single_query_time 11.71s
[2022-09-14 02:24:29.215] [info] queryID 76, result_size 19, rtk_topk 1024, single_query_time 3.68s
[2022-09-14 03:02:41.126] [info] queryID 77, result_size 60, rtk_topk 8192, single_query_time 2291.91s
[2022-09-14 03:02:44.821] [info] queryID 78, result_size 11, rtk_topk 1024, single_query_time 3.69s
[2022-09-14 03:02:47.173] [info] queryID 79, result_size 44, rtk_topk 16, single_query_time 2.35s
[2022-09-14 03:02:51.324] [info] queryID 80, result_size 65, rtk_topk 512, single_query_time 4.15s
[2022-09-14 03:10:32.261] [info] queryID 81, result_size 10, rtk_topk 2048, single_query_time 460.94s
[2022-09-14 03:10:37.023] [info] queryID 82, result_size 128, rtk_topk 256, single_query_time 4.76s
[2022-09-14 03:10:40.369] [info] queryID 83, result_size 17, rtk_topk 64, single_query_time 3.35s
[2022-09-14 03:18:21.619] [info] queryID 84, result_size 29, rtk_topk 2048, single_query_time 461.25s
[2022-09-14 03:19:13.950] [info] queryID 85, result_size 7063, rtk_topk 1024, single_query_time 52.33s
[2022-09-14 03:39:12.414] [info] queryID 86, result_size 20, rtk_topk 4096, single_query_time 1198.46s
[2022-09-14 03:39:27.966] [info] queryID 87, result_size 115, rtk_topk 1024, single_query_time 15.55s
[2022-09-14 03:47:12.859] [info] queryID 88, result_size 896, rtk_topk 2048, single_query_time 464.89s
[2022-09-14 03:54:56.422] [info] queryID 89, result_size 199, rtk_topk 2048, single_query_time 463.56s
