topk,QSMemoryIndexTime,QSROMemoryIndexTime,QSDTMemoryIndexTime
10.00 ,623.041,279.766,334.244
50.00 ,626.749,290.689,393.173
100.00 ,629.005,299.228,429.388
150.00 ,626.237,305.297,446.494
200.00 ,631.504,304.92,460.514
