topk,RSRunningTime,RSIOCost,RSIPCost,QRSRunningTime,QRSIOCost,QRSIPCost,QRSMinMaxIntLRRunningTime,QRSMinMaxIntLRIOCost,QRSMinMaxIntLRIPCost,QRSLSIntLRRunningTime,QRSLSIntLRIOCost,QRSLSIntLRIPCost
10,232.908,1627456,283228000,111.769,73344,283228000,51.948,73344,17782261,56.084,73344,25461262
20,301.077,2582528,283228000,120.867,148352,283228000,61.429,148352,20857895,67.752,148352,31490556
50,322.253,2820224,283228000,124.594,290496,283228000,71.702,290560,28264010,79.060,290560,39288789
100,343.904,3095424,283228000,131.879,353792,283228000,81.442,354240,33563974,90.391,354240,44333572
200,387.406,3607616,283228000,221.187,2038848,283228000,174.085,2039424,37987612,184.267,2039424,52660907


